,lat,lng,name,osm_accuracy,population,district,subject,density,ivl_per_100k,ivl_number,ekmo_per_100k,ekmo_number,life_quality_place_rating,ecology,cleanness,public_services,neighbourhood,children_places,sport_and_outdoor,shops_and_malls,public_transport,security,life_costs
311,59.37439820000001,28.5981591,Кингисепп,0.6228091811174039,9797,Северо-Западный,Ленинградская область,"21,62",,,,,,,,,,,,,,,
312,53.219738,50.633228,Кинель,0.586995277267246,34472,Приволжский,Самарская область,"59,58","42,6",1353,"0,03",1.0,,,,,,,,,,,
313,57.4431,42.1400999,Кинешма,0.60371814018946,88113,Центральный,Ивановская область,"42,45","17,9",178,н. д.,,208.0,39.0,221.0,209.0,181.0,227.0,246.0,214.0,97.0,182.0,214.0
314,57.77635600000001,108.116295,Киренск,0.603101399892571,12652,Сибирский,Иркутская область,"3,13","26,5",633,н. д.,,,,,,,,,,,,
315,56.159222899999996,38.8721255,Киржач,0.600051974961097,30044,Центральный,Владимирская область,"47,53","31,4",426,"0,07",1.0,,,,,,,,,,,
316,59.8588453,38.3760743,Кириллов,0.6002470486580991,7735,Северо-Западный,Вологодская область,"8,08","22,1",257,н. д.,,,,,,,,,,,,
317,59.450325,32.010578,Кириши,0.61172514439991,52826,Северо-Западный,Ленинградская область,"21,62",,,,,,,,,,,,,,,
318,58.6035257,49.6639029,Киров,0.6429998248534461,31888,Центральный,Калужская область,"33,85","4,8",48,"0,1",1.0,78.0,149.0,156.0,130.0,96.0,28.0,54.0,108.0,163.0,41.0,23.0
319,58.6035257,49.6639029,Киров,0.6429998248534461,31888,Приволжский,Кировская область,"10,62","39,6",500,"0,08",1.0,78.0,149.0,156.0,130.0,96.0,28.0,54.0,108.0,163.0,41.0,23.0
320,57.42652710000001,60.0665927,Кировград,0.6054128857716911,21959,Уральский,Свердловская область,"22,2",35,1510,"0,05",2.0,,,,,,,,,,,
321,52.654755,42.724959999999996,Кирсанов,0.5872630118297729,17240,Центральный,Тамбовская область,"30,13","31,2",314,н. д.,,,,,,,,,,,,
322,54.004987199999995,86.63547709999999,Киселёвск,0.601106649752338,88200,Сибирский,Кемеровская область,"28,22","27,3",726,"0,08",2.0,,,,,,,,,,,
323,43.9128743,42.7192186,Кисловодск,0.628605565243229,128502,Северо-Кавказский,Ставропольский край,"42,12",,,,,155.0,17.0,152.0,210.0,138.0,236.0,227.0,240.0,94.0,109.0,203.0
