transport,departure,arrival,passengers
avia,Екатеринбург,Уфа,1846
avia,Иркутск,Чита,1961
avia,Симферополь (Крым),Уфа,1864
avia,Сочи,Архангельск,1895
avia,Сургут,Екатеринбург,1921
avia,Екатеринбург,Красноярск,1866
avia,Липецк,Санкт-Петербург,1872
avia,Благовещенск,Екатеринбург,1816
avia,Нарьян-Мар,Архангельск,1809
avia,Новый Уренгой,Минеральные Воды,1918
avia,Ростов-на-Дону,Волгоград,1950
avia,Санкт-Петербург,Иваново,1954
avia,Новосибирск,Сочи,1943
avia,Краснодар,Волгоград,1920
avia,Красноярск,Северо-Енисейский,1843
avia,Ростов-на-Дону,Казань,1951
avia,Тюмень,Уфа,1902
avia,Симферополь (Крым),Тюмень,1845
avia,Самара,Нижневартовск,1845
avia,Якутск,Санкт-Петербург,1840
avia,Хабаровск,Новосибирск,1860
avia,Белоярский,Екатеринбург,1798
avia,Сургут,Симферополь (Крым),1844
avia,Астрахань,Казань,1732
avia,Барнаул,Санкт-Петербург,1797
avia,Москва,Кызыл,1873
avia,Ленск,Иркутск,1746
avia,Хабаровск,Санкт-Петербург,1749
avia,Новосибирск,Талакан,1848
avia,Казань,Махачкала,1828
avia,Ростов-на-Дону,Челябинск,1794
avia,Ханты-Мансийск,Екатеринбург,1818
avia,Ноябрьск,Салехард,1790
avia,Санкт-Петербург,Саратов,1741
avia,Стрежевой,Новосибирск,1774
avia,Бугульма,Новый Уренгой,1751
avia,Екатеринбург,Ханты-Мансийск,1684
avia,Краснодар,Хабаровск,1775
avia,Санкт-Петербург,Брянск,1619
avia,Новый Уренгой,Самара,1695
avia,Нижневартовск,Ханты-Мансийск,1693
avia,Екатеринбург,Белоярский,1666
avia,Москва,Курск,1746
avia,Санкт-Петербург,Липецк,1652
avia,Екатеринбург,Благовещенск,1675
avia,Иркутск,Ленск,1640
avia,Екатеринбург,Нижневартовск,1778
avia,Улан-Удэ,Таксимо,1771
avia,Симферополь (Крым),Пермь,1654
avia,Кызыл,Новосибирск,1703
avia,Красноярск,Кызыл,1666
avia,Архангельск,Сочи,1746
avia,Махачкала,Краснодар,1632
avia,Владивосток,Петропавловск-Камчатский,1624
avia,Усинск,Москва,1747
avia,Краснодар,Нижнекамск,1630
avia,Саратов,Санкт-Петербург,1664
avia,Нижнеангарск,Улан-Удэ,1765
avia,Нерюнгри,Москва,1718
avia,Сургут,Ростов-на-Дону,1610
avia,Мурманск,Ростов-на-Дону,1591
avia,Советский,Белоярский,1666
avia,Северо-Енисейский,Красноярск,1583
avia,Уфа,Ханты-Мансийск,1578
avia,Иркутск,Братск,1565
avia,Екатеринбург,Калининград,1666
avia,Кепервеем,Магадан,1617
avia,Москва,Удачный,1611
avia,Санкт-Петербург,Саранск,1606
avia,Москва,Нерюнгри,1645
avia,Минеральные Воды,Казань,1671
avia,Нижневартовск,Краснодар,1583
avia,Ростов-на-Дону,Минеральные Воды,1636
avia,Уфа,Самара,1593
avia,Иркутск,Якутск,1610
avia,Новосибирск,Стрежевой,1659
avia,Новый Уренгой,Ростов-на-Дону,1631
avia,Новосибирск,Магадан,1559
avia,Ханты-Мансийск,Новосибирск,1609
avia,Нягань,Белоярский,1501
avia,Уфа,Тюмень,1481
avia,Томск,Сочи,1559
avia,Новосибирск,Кызыл,1575
avia,Архангельск,Нарьян-Мар,1505
avia,Ханты-Мансийск,Нижневартовск,1572
avia,Бугульма,Сургут,1497
avia,Минеральные Воды,Ростов-на-Дону,1532
avia,Ростов-на-Дону,Мурманск,1460
avia,Иркутск,Томск,1485
avia,Иркутск,Сочи,1495
avia,Курск,Москва,1550
avia,Иркутск,Екатеринбург,1480
avia,Иваново,Санкт-Петербург,1491
avia,Казань,Астрахань,1586
avia,Казань,Сургут,1490
avia,Новый Уренгой,Бугульма,1443
avia,Новый Уренгой,Пермь,1539
avia,Нижневартовск,Казань,1529
avia,Краснодар,Нижневартовск,1520
avia,Братск,Москва,1528
avia,Надым,Екатеринбург,1496
avia,Новосибирск,Петропавловск-Камчатский,1453
avia,Краснодар,Калуга,1513
avia,Магадан,Хабаровск,1468
avia,Ярославль,Санкт-Петербург,1368
avia,Челябинск,Ростов-на-Дону,1462
avia,Саранск,Санкт-Петербург,1475
avia,Красноярск,Тюмень,1413
avia,Нижнекамск,Ростов-на-Дону,1493
avia,Нарьян-Мар,Москва,1452
avia,Нижневартовск,Санкт-Петербург,1444
avia,Нижневартовск,Екатеринбург,1477
avia,Краснодар,Калининград,1501
avia,Череповец,Москва,1454
avia,Владивосток,Иркутск,1409
avia,Тюмень,Самара,1412
avia,Петропавловск-Камчатский,Владивосток,1339
avia,Талакан,Новосибирск,1347
avia,Толька,Тюмень,1380
avia,Симферополь (Крым),Сургут,1325
avia,Новосибирск,Ноябрьск,1320
avia,Пермь,Нижний Новгород,1306
avia,Новосибирск,Чита,1442
avia,Нижний Новгород,Сочи,1387
avia,Симферополь (Крым),Омск,1426
avia,Нижнеангарск,Иркутск,1351
avia,Архангельск,Мурманск,1316
avia,Ханты-Мансийск,Белоярский,1350
avia,Ноябрьск,Новосибирск,1360
avia,Казань,Минеральные Воды,1432
avia,Санкт-Петербург,Якутск,1316
avia,Санкт-Петербург,Ярославль,1356
avia,Хабаровск,Оха,1339
avia,Белоярский,Сургут,1332
avia,Минеральные Воды,Новый Уренгой,1336
avia,Санкт-Петербург,Грозный,1355
