,city,first_1000,first_10000,first_100000,last_1000
363,Колпино,85.0,135.0,-1.0,-1.0
364,Кольчугино,43.0,63.0,-1.0,133.0
365,Комсомольск,84.0,-1.0,-1.0,116.0
366,Комсомольск-на-Амуре,85.0,117.0,-1.0,-1.0
367,Конаково,54.0,-1.0,-1.0,132.0
368,Кондопога,86.0,-1.0,-1.0,179.0
369,Кондрово,75.0,-1.0,-1.0,131.0
370,Кораблино,95.0,-1.0,-1.0,145.0
371,Кореновск,65.0,-1.0,-1.0,147.0
372,Коркино,97.0,-1.0,-1.0,-1.0
373,Короча,63.0,-1.0,-1.0,85.0
374,Коряжма,65.0,-1.0,-1.0,149.0
375,Кослан,-1.0,-1.0,-1.0,0.0
376,Костомукша,68.0,-1.0,-1.0,135.0
377,Кострома,42.0,54.0,-1.0,170.0
378,Котельниково,80.0,-1.0,-1.0,148.0
379,Котельнич,73.0,-1.0,-1.0,145.0
380,Котлас,60.0,81.0,-1.0,151.0
381,Котово,55.0,-1.0,-1.0,119.0
382,Красноармейск,78.0,-1.0,-1.0,153.0
383,Красновишерск,102.0,-1.0,-1.0,162.0
384,Краснодар,37.0,48.0,63.0,-1.0
385,Краснокаменск,98.0,-1.0,-1.0,-1.0
386,Краснокамск,71.0,-1.0,-1.0,171.0
387,Краснослободск,60.0,-1.0,-1.0,111.0
388,Краснотурьинск,69.0,96.0,-1.0,164.0
389,Красноуральск,80.0,-1.0,-1.0,151.0
390,Красноуфимск,77.0,-1.0,-1.0,-1.0
391,Красноярск,47.0,60.0,81.0,-1.0
392,Красный Кут,92.0,-1.0,-1.0,148.0
393,Красный Сулин,52.0,-1.0,-1.0,130.0
394,Красный Холм,70.0,-1.0,-1.0,89.0
395,Красный Чикой,-1.0,-1.0,-1.0,0.0
396,Кропоткин,54.0,69.0,-1.0,149.0
397,Крутинка,95.0,-1.0,-1.0,112.0
398,Крымск,67.0,-1.0,-1.0,163.0
399,Кстово,71.0,-1.0,-1.0,178.0
400,Кубинка,65.0,-1.0,-1.0,129.0
401,Кувандык,84.0,-1.0,-1.0,166.0
402,Кувшиново,68.0,-1.0,-1.0,107.0
403,Кугеси,89.0,-1.0,-1.0,137.0
404,Кудымкар,104.0,-1.0,-1.0,-1.0
405,Кузнецк,50.0,65.0,-1.0,151.0
406,Кулебаки,62.0,-1.0,-1.0,139.0
407,Кумертау,77.0,-1.0,-1.0,-1.0
408,Кунгур,81.0,-1.0,-1.0,-1.0
409,Купино,-1.0,-1.0,-1.0,0.0
410,Курган,56.0,70.0,-1.0,-1.0
411,Курганинск,69.0,-1.0,-1.0,162.0
412,Курильск,-1.0,-1.0,-1.0,0.0
413,Курск,42.0,53.0,-1.0,-1.0
414,Куртамыш,92.0,-1.0,-1.0,149.0
415,Курчатов,69.0,-1.0,-1.0,159.0
416,Куса,79.0,-1.0,-1.0,139.0
417,Кушва,92.0,-1.0,-1.0,178.0
418,Кызыл,67.0,88.0,-1.0,-1.0
419,Кыштым,76.0,-1.0,-1.0,158.0
420,Лабинск,53.0,70.0,-1.0,142.0
421,Лабытнанги,74.0,-1.0,-1.0,149.0
422,Лазаревское,61.0,78.0,-1.0,164.0
423,Лаишево,76.0,-1.0,-1.0,104.0
424,Лакинск,65.0,-1.0,-1.0,117.0
425,Лангепас,86.0,-1.0,-1.0,-1.0
426,Лахденпохья,71.0,-1.0,-1.0,100.0
427,Лебедянь,49.0,-1.0,-1.0,115.0
428,Лениногорск,82.0,-1.0,-1.0,-1.0
429,Ленинск,-1.0,-1.0,-1.0,0.0
430,Ленинск-Кузнецкий,89.0,-1.0,-1.0,-1.0
431,Ленск,99.0,-1.0,-1.0,174.0
432,Лесной,77.0,-1.0,-1.0,175.0
433,Лесозаводск,101.0,-1.0,-1.0,-1.0
434,Лесосибирск,83.0,-1.0,-1.0,-1.0
435,Ливны,44.0,62.0,-1.0,134.0
436,Липецк,37.0,48.0,66.0,-1.0
437,Лиски,63.0,89.0,-1.0,155.0
438,Лихославль,73.0,-1.0,-1.0,115.0
439,Лобня,-1.0,-1.0,-1.0,0.0
440,Лодейное Поле,52.0,-1.0,-1.0,114.0
441,Лоо,71.0,-1.0,-1.0,101.0
442,Луга,55.0,-1.0,-1.0,127.0
443,Луза,-1.0,-1.0,-1.0,0.0
444,Лукоянов,88.0,-1.0,-1.0,144.0
445,Луховицы,57.0,-1.0,-1.0,126.0
446,Лысково,62.0,-1.0,-1.0,122.0
447,Лысьва,80.0,-1.0,-1.0,-1.0
448,Льгов,60.0,-1.0,-1.0,120.0
449,Любань,-1.0,-1.0,-1.0,0.0
450,Любим,84.0,-1.0,-1.0,95.0
451,Людиново,49.0,-1.0,-1.0,129.0
452,Магадан,56.0,73.0,-1.0,164.0
453,Магнитогорск,58.0,74.0,-1.0,-1.0
454,Майкоп,50.0,63.0,-1.0,160.0
455,Майский,88.0,-1.0,-1.0,174.0
456,Макаров,-1.0,-1.0,-1.0,0.0
457,Макарьев,70.0,-1.0,-1.0,95.0
458,Максатиха,71.0,-1.0,-1.0,99.0
459,Макушино,-1.0,-1.0,-1.0,0.0
460,Малая Вишера,66.0,-1.0,-1.0,110.0
461,Малоархангельск,-1.0,-1.0,-1.0,0.0
462,Малоярославец,63.0,-1.0,-1.0,135.0
463,Мама,-1.0,-1.0,-1.0,0.0
464,Мамадыш,83.0,-1.0,-1.0,134.0
465,Манжерок,-1.0,-1.0,-1.0,0.0
466,Мантурово,67.0,-1.0,-1.0,119.0
467,Мариинск,95.0,-1.0,-1.0,-1.0
468,Маркс ,70.0,-1.0,-1.0,144.0
469,Махачкала,43.0,55.0,73.0,-1.0
470,Мглин,79.0,-1.0,-1.0,109.0
471,Мегион,70.0,-1.0,-1.0,156.0
472,Медвежьегорск,66.0,-1.0,-1.0,115.0
473,Медногорск,100.0,-1.0,-1.0,-1.0
474,Медынь,58.0,-1.0,-1.0,93.0
475,Междуреченск,98.0,-1.0,-1.0,-1.0
476,Меленки,78.0,-1.0,-1.0,131.0
477,Мелеуз,87.0,-1.0,-1.0,-1.0
478,Менделеевск,92.0,-1.0,-1.0,168.0
479,Мензелинск,93.0,-1.0,-1.0,153.0
480,Мещовск,-1.0,-1.0,-1.0,0.0
481,Миасс,65.0,82.0,-1.0,-1.0
482,Микунь,54.0,-1.0,-1.0,99.0
483,Миллерово,49.0,-1.0,-1.0,127.0
484,Минеральные Воды,42.0,59.0,-1.0,148.0
485,Минусинск,77.0,-1.0,-1.0,-1.0
486,Миньяр,-1.0,-1.0,-1.0,0.0
487,Мирный,65.0,-1.0,-1.0,150.0
488,Михайлов,54.0,-1.0,-1.0,102.0
489,Михайловка,52.0,69.0,-1.0,140.0
490,Михайловск,88.0,-1.0,-1.0,122.0
