;Code;City;Region;County;FeatureVectorGlobal;RegionFeatureVectorGlobal
71;72;Нижнекамск;Tatarstan;Nizhnekamsky District;"[ 0.43564625  0.35700716  0.3659481   0.35467648  0.21556002  0.35507046
  0.24636098  0.26170172  0.21556002  0.15105554  0.13377809  0.1582989
  0.09530544  0.16192635 -0.          0.1435363  -0.         -0.
  0.0799438  -0.          0.1289146   0.26447237  0.03039953 -0.
 -0.         -0.          0.12032963  0.12455692]";[0.45770433597655424, 0.34164008632446147, 0.423172360215018, 0.32407039046403163, 0.15729894984914342, 0.3423191223105903, 0.23495774999780536, 0.2604586247425612, 0.12074116269680674, 0.06577423784567205, 0.17629472558334247, 0.16277712926357712, 0.031768478353409256, 0.061171799477062645, 0.15160906417784034, 0.0846077331443331, 0.06817960188725908, 0.049093124071890794, 0.09761473694181744, 0.08701578897845465, 0.042971534181568675, 0.0881574558594833, 0.036397802771632855, 0.04724202675782174, 0.0897667083383895, 0.0, 0.041201168942582696, 0.09325220012818307]
72;73;Екатеринбург;Sverdlovsk;Ekaterinburg;"[ 4.88912641e-01  2.80340365e-01  4.07035027e-01  4.58366516e-01
  2.31944094e-01  3.90984262e-01  2.04293468e-01  9.45381152e-02
  9.45381152e-02  0.00000000e+00  2.00795530e-01  0.00000000e+00
  0.00000000e+00 -0.00000000e+00  5.65100705e-01 -0.00000000e+00
  5.55117234e-01  3.01290717e-01 -0.00000000e+00  5.70688882e-01
 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  7.22758043e-01
  4.91070076e-05 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00]";[0.6742651133646258, 0.2818788777960587, 0.4160805566506701, 0.2291832582066412, 0.11597204706756442, 0.19549213109586042, 0.10214673400125973, 0.047269057586633384, 0.047269057586633384, 0.0, 0.10039776512840459, 0.0, 0.0, 0.0, 0.2825503523629198, 0.248379208678822, 0.28894968048061875, 0.15064535835325268, 0.12406425184370322, 0.28534444083040045, 0.0, 0.0, 0.05393725172558853, 0.3613790212616599, 0.11699374241893444, 0.10701435463906091, 0.045322049743132045, 0.5271419603701517]
73;74;Нарьян-Мар;Nenets;Nar'jan-Mar;"[ 0.47625043  0.40580892  0.42863232  0.23812522  0.20153771  0.31211739
  0.25588527  0.29881902  0.22180684  0.          0.15059336  0.05825746
  0.          0.16671552 -0.          0.00365333 -0.         -0.
 -0.          0.03019814  0.04132572  0.17786712  0.27377664  0.00949633
  0.42559016  0.18483392  0.28632967 -0.        ]";[0.47625043453184324, 0.4058089236856042, 0.428632317329902, 0.23812521726592162, 0.20153771124011363, 0.3121173903376458, 0.25588527192094096, 0.29881901812098105, 0.2218068403885744, 0.0, 0.1505933585246227, 0.05825746349612807, 0.0, 0.16671551832709602, 0.0, 0.0036533326201872588, 0.0, 0.0, 0.0, 0.0301981409098473, 0.0413257214958534, 0.17786711565954658, 0.2737766354485644, 0.009496334607348817, 0.4255901623892722, 0.1848339241634394, 0.2863296654162258, 0.0]
74;75;Ярославль;Yaroslavl;Yaroslavskiy;"[ 0.62435834  0.22875667  0.58921948  0.          0.          0.17699032
  0.31725183  0.28052302  0.          0.          0.          0.
  0.         -0.         -0.          0.07491636  0.0609544  -0.
  0.04760089  0.32075116 -0.         -0.          0.03080125  0.51717352
  0.45564946 -0.         -0.          0.39194817]";[0.6243583383941285, 0.2287566665850623, 0.5892194814384218, 0.0, 0.0, 0.1769903172840948, 0.31725182522710976, 0.28052301588602985, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07491635682456667, 0.06095439809998641, 0.0, 0.047600888893839885, 0.32075115834970735, 0.0, 0.0, 0.030801246016512487, 0.5171735175419997, 0.4556494645765705, 0.0, 0.0, 0.39194816874867744]
75;76;Диксон;Krasnoyarsk;Taymyrsky Dolgano-Nenetsky District;"[ 0.76293683  0.17369802  0.62270088  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         -0.         -0.          0.36579992  0.16107881 -0.
  0.25444881  0.11623515 -0.         -0.          0.04057035  0.54341235
  0.29565203  0.03149471 -0.          0.90918842]";[0.7537177243935558, 0.3258730662466827, 0.4217448793990444, 0.062350824292711084, 0.03475118201144362, 0.0675603153041036, 0.035825367078433965, 0.06012802433262702, 0.06012241060004339, 0.015170835373402192, 0.02866169285971684, 0.02797654780621649, 0.0, 0.06464313243445184, 0.07523052194135847, 0.37256064067874006, 0.07846458080049817, 0.09341770768199581, 0.19301602752117242, 0.11312795381595127, 0.02679149916411122, 0.09478201865783036, 0.09335848660447826, 0.22211981824170476, 0.21424701642732247, 0.18678079986640883, 0.15933242215542345, 0.8386605882345529]
76;77;Охотск;Khabarovsk;Okhotskiy;"[ 0.80230478  0.40433093  0.43911678  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         -0.         -0.          0.2768915  -0.         -0.
  0.03355136 -0.         -0.         -0.          0.04057284  0.28461544
  0.00595327 -0.         -0.          0.74020966]";[0.5893672168406836, 0.33432258961392103, 0.47667950876733317, 0.0878807749705438, 0.0635736595493419, 0.11676278789946151, 0.12064646928831935, 0.1349035049886655, 0.06865113229102536, 0.012900515471751525, 0.03167556788255189, 0.05054793159378664, 0.012900515471751525, 0.16509817563056722, 0.04580462182107477, 0.252026232805019, 0.023243224455427782, 0.06218849668257568, 0.1530810775216262, 0.1702062085022003, 0.056924717364419015, 0.2627957324652336, 0.07597123080141192, 0.3153558826437845, 0.28784290980802535, 0.12411886915582716, 0.1919159046243295, 0.5354443407397447]
77;78;Челябинск;Chelyabinsk;Chelyabinsk;"[ 0.39968553  0.34352791  0.33737028  0.36981183  0.25604123  0.35385411
  0.21877012  0.27107399  0.23476545  0.09984711  0.20212742  0.20890198
  0.09984711  0.10437094  0.14330085 -0.         -0.          0.03928806
  0.0354879  -0.          0.08357283  0.25517835 -0.         -0.
 -0.         -0.         -0.          0.02837887]";[0.4367105175717449, 0.3767749904790232, 0.3607258632534479, 0.3247807586058789, 0.23103045859205162, 0.3427577974874413, 0.20637796853509321, 0.274312250277291, 0.23803482283015337, 0.09280549084632136, 0.17100113290338603, 0.19021485893853482, 0.049923556988337094, 0.12995983072462852, 0.07165042634983057, 0.0883660444770646, 0.0, 0.01964402821972686, 0.10782461947104847, 0.0, 0.1022682002195407, 0.20134485419828382, 0.10389726290266005, 0.0, 0.09114500420066543, 0.0915817871131816, 0.14582959881737598, 0.06106796903332938]
78;79;Чокурдах;Sakha;Allaikhovsky District;"[ 0.82970921  0.37810409  0.41063356  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         -0.         -0.          0.5064321  -0.         -0.
  0.37400039 -0.         -0.         -0.          0.0925614  -0.
  0.09535602  0.27156329  0.02014711  1.19128091]";[0.656277779083061, 0.34718699095026795, 0.4735050100231168, 0.061809252660250086, 0.02712064092916293, 0.07873439292377876, 0.1022909930060047, 0.1332956332958204, 0.042570522737523535, 0.006482320251983309, 0.026003037335561075, 0.013570032975275854, 0.0039689893314037794, 0.09953900202108407, 0.047992471608334634, 0.32745615760560187, 0.01829217772915762, 0.06892315259914072, 0.29538610026526274, 0.15948007988313612, 0.04427072372719436, 0.10877998018643308, 0.09096118270108326, 0.18480658075029235, 0.16046884669619865, 0.17977665103642712, 0.1165481136985159, 0.8139049751858033]
79;80;Белая Гора;Sakha;Abyyskiy;"[ 0.82970921  0.37810409  0.41063356  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.         -0.         -0.          0.5064321  -0.         -0.
  0.37400039 -0.         -0.         -0.          0.0925614  -0.
  0.09535602  0.27156329  0.02014711  1.19128091]";[0.656277779083061, 0.34718699095026795, 0.4735050100231168, 0.061809252660250086, 0.02712064092916293, 0.07873439292377876, 0.1022909930060047, 0.1332956332958204, 0.042570522737523535, 0.006482320251983309, 0.026003037335561075, 0.013570032975275854, 0.0039689893314037794, 0.09953900202108407, 0.047992471608334634, 0.32745615760560187, 0.01829217772915762, 0.06892315259914072, 0.29538610026526274, 0.15948007988313612, 0.04427072372719436, 0.10877998018643308, 0.09096118270108326, 0.18480658075029235, 0.16046884669619865, 0.17977665103642712, 0.1165481136985159, 0.8139049751858033]
80;81;Норильск;Krasnoyarsk;;"[ 0.42684432  0.36275543  0.34392387  0.33610287  0.20341623  0.35757819
  0.22724706  0.27574969  0.25283624  0.13893547  0.13893547  0.23560969
  0.          0.28021136 -0.         -0.         -0.          0.19350118
 -0.         -0.          0.21113375  0.85928367  0.07995682 -0.
  0.21063916 -0.          0.29474906 -0.        ]";[0.7537177243935558, 0.3258730662466827, 0.4217448793990444, 0.062350824292711084, 0.03475118201144362, 0.0675603153041036, 0.035825367078433965, 0.06012802433262702, 0.06012241060004339, 0.015170835373402192, 0.02866169285971684, 0.02797654780621649, 0.0, 0.06464313243445184, 0.07523052194135847, 0.37256064067874006, 0.07846458080049817, 0.09341770768199581, 0.19301602752117242, 0.11312795381595127, 0.02679149916411122, 0.09478201865783036, 0.09335848660447826, 0.22211981824170476, 0.21424701642732247, 0.18678079986640883, 0.15933242215542345, 0.8386605882345529]
