source,target,pass_day,transport,source_lat,source_lng,target_lat,target_lng,target_population,source_population
Краснодар,Усинск,4.366666666666666,avia,45.0352566,38.976481400000004,65.995731,57.5571267,41100.0,34926.0
Махачкала,Екатеринбург,4.266666666666667,avia,42.9830241,47.5048717,56.839104000000006,60.60825,1377738.0,577990.0
Самара,Назрань,3.9,avia,53.198627,50.113987,43.232077399999994,44.7540128,93357.0,1164900.0
Сыктывкар,Томск,3.7333333333333334,avia,61.66852370000001,50.8352024,58.6124279,82.04753149999999,25614.0,235006.0
Самара,Ханты-Мансийск,3.466666666666667,avia,53.198627,50.113987,61.00346,69.01915699999999,20283.0,1164900.0
Екатеринбург,Кемерово,3.9,avia,56.839104000000006,60.60825,55.355125,86.087234,532884.0,1377738.0
Архангельск,Оренбург,3.1,avia,64.543022,40.537121,51.767452,55.097118,20663.0,348716.0
Ростов-на-Дону,Нерюнгри,3.7666666666666666,avia,47.22138579999999,39.7114196,56.65794350000001,124.71230420000002,61746.0,1091544.0
Белгород,Надым,3.3333333333333335,avia,50.5955595,36.5873394,65.5336238,72.51139549999999,46550.0,39026.0
Волгоград,Иркутск,4.366666666666666,avia,48.64820995,44.3857637990291,52.289597,104.280586,6751.0,1021244.0
Самара,Киров,4.666666666666667,avia,53.198627,50.113987,58.6035257,49.6639029,31888.0,1164900.0
Мурманск,Ярославль,3.933333333333333,avia,68.970665,33.07497,57.64955255,39.8748582716262,591486.0,59690.0
Ростов-на-Дону,Чита,4.4,avia,47.22138579999999,39.7114196,52.033409000000006,113.50089299999999,323964.0,1091544.0
Белгород,Норильск,3.966666666666667,avia,50.5955595,36.5873394,69.34983940000001,88.200517,175301.0,39026.0
Владикавказ,Тюмень,3.4,avia,43.024592999999996,44.682109999999994,57.15353399999999,65.542274,581758.0,311635.0
Саратов,Минеральные Воды,3.7666666666666666,avia,51.530018,46.034683,44.2107377,43.134969,76715.0,12846.0
Мурманск,Сургут,3.6333333333333333,avia,68.970665,33.07497,61.254031999999995,73.3964,38922.0,59690.0
Ростов-на-Дону,Томск,3.8666666666666667,avia,47.22138579999999,39.7114196,58.6124279,82.04753149999999,25614.0,1091544.0
Сочи,Благовещенск,3.8333333333333335,avia,43.585482299999995,39.723109,50.290527000000004,127.527161,214397.0,343285.0
Ульяновск,Ноябрьск,3.466666666666667,avia,54.146317700000004,47.2324921,63.2002917,75.4475807,110572.0,17149.0
Белоярский,Краснодар,3.3,avia,63.7156353,66.6667691,45.0352566,38.976481400000004,34926.0,20283.0
Новокузнецк,Ростов-на-Дону,4.4,avia,53.75760699999999,87.136101,47.22138579999999,39.7114196,1091544.0,547885.0
Калининград,Красноярск,3.6,avia,54.710128000000005,20.510583800000003,56.0090968,92.8725147,2180.0,6399.0
Астрахань,Якутск,3.7333333333333334,avia,46.3652486,48.0552168617783,62.027287,129.732086,269486.0,520662.0
Талакан,Самара,3.533333333333333,avia,49.7215861,131.90679550000002,53.198627,50.113987,1164900.0,4345.0
Симферополь (Крым),Южно-Сахалинск,3.4,avia,44.9521457,34.1024858,46.9574273,142.72743799999998,181727.0,332317.0
Ростов-на-Дону,Воронеж,3.566666666666667,avia,47.22138579999999,39.7114196,51.6605982,39.20058579999999,19738.0,1091544.0
Екатеринбург,Нерюнгри,3.6333333333333333,avia,56.839104000000006,60.60825,56.65794350000001,124.71230420000002,61746.0,1377738.0
Магадан,Омск,4.033333333333333,avia,59.56047679999999,150.79886169999997,54.991375,73.37152900000001,25905.0,95925.0
Нижний Новгород,Новокузнецк,4.233333333333333,avia,56.328571,44.003506,53.75760699999999,87.136101,547885.0,1250615.0
Геленджик,Нижний Новгород,4.566666666666666,avia,44.56094470000001,38.076683200000005,56.328571,44.003506,1250615.0,54813.0
Мурманск,Петропавловск-Камчатский,3.933333333333333,avia,68.970665,33.07497,53.0199693,158.6472187,179526.0,59690.0
Нижневартовск,Омск,4.5,avia,60.9339411,76.58142740000001,54.991375,73.37152900000001,25905.0,251860.0
Ульяновск,Воронеж,4.166666666666667,avia,54.146317700000004,47.2324921,51.6605982,39.20058579999999,19738.0,17149.0
Ноябрьск,Самара,3.2666666666666666,avia,63.2002917,75.4475807,53.198627,50.113987,1164900.0,110572.0
Урай,Ханты-Мансийск,3.7333333333333334,avia,60.12911999999999,64.803627,61.00346,69.01915699999999,20283.0,39435.0
Воронеж,Астрахань,4.1,avia,51.6605982,39.20058579999999,46.3652486,48.0552168617783,520662.0,19738.0
Ижевск,Ростов-на-Дону,3.5,avia,56.86655699999999,53.2094166,47.22138579999999,39.7114196,1091544.0,628117.0
Печора,Сыктывкар,3.6666666666666665,avia,65.12825625,57.138231414978,61.66852370000001,50.8352024,235006.0,43458.0
Челябинск,Чита,3.466666666666667,avia,55.15984079999999,61.4025547,52.033409000000006,113.50089299999999,323964.0,31916.0
