,n_iter,name,suspected,infected,recovered
68,0,Новомихайловский,10858.0,1.0,0.0
69,0,Медногорск,27253.0,1.0,0.0
70,0,Покров,17762.0,1.0,0.0
71,0,Краснотурьинск,59701.0,1.0,0.0
72,0,Полевской,64316.0,1.0,0.0
73,0,Краснокаменск,55668.0,1.0,0.0
74,0,Дальнереченск,27601.0,1.0,0.0
75,0,Пушкино,102840.0,1.0,0.0
76,0,Ардатов,9400.0,1.0,0.0
77,0,Железноводск,24496.0,1.0,0.0
78,0,Тольятти,719484.0,1.0,0.0
79,0,Татарск,26114.0,1.0,0.0
80,0,Конаково,41303.0,1.0,0.0
81,0,Удомля,31048.0,1.0,0.0
82,0,Каменск-Уральский,174710.0,1.0,0.0
83,0,Жигулёвск,54300.0,1.0,0.0
84,0,Манжерок,1500.0,1.0,0.0
85,0,Талакан,4345.0,1.0,0.0
86,0,Аткарск,25620.0,1.0,0.0
87,0,Ставрополь,32736.0,1.0,0.0
88,0,Гаврилов Посад,6434.0,1.0,0.0
89,0,Короча,5877.0,1.0,0.0
90,0,Крутинка,6878.0,1.0,0.0
91,0,Чёрмоз,3400.0,1.0,0.0
92,0,Крымск,57370.0,1.0,0.0
93,0,Спасск,7442.0,1.0,0.0
94,0,Канаш,45608.0,1.0,0.0
95,0,Заинск,41798.0,1.0,0.0
96,0,Киселёвск,88200.0,1.0,0.0
97,0,Кашин,16174.0,1.0,0.0
98,0,Дюртюли,31272.0,1.0,0.0
99,0,Елабуга,70750.0,1.0,0.0
100,0,Нижний Тагил,361883.0,1.0,0.0
101,0,Алапаевск,38198.0,1.0,0.0
102,0,Заозёрный,10286.0,1.0,0.0
103,0,Мирный,30259.0,1.0,0.0
104,0,Починок,8776.0,1.0,0.0
105,0,Шилка,13947.0,1.0,0.0
106,0,Лангепас,41675.0,1.0,0.0
107,0,Хабаровск,42977.0,1.0,0.0
108,0,Игрим,7477.0,1.0,0.0
109,0,Верхний Тагил,11843.0,1.0,0.0
110,0,Белогорск,68220.0,1.0,0.0
111,0,Старица,8610.0,1.0,0.0
112,0,Юрга,81536.0,1.0,0.0
113,0,Эвенск,1404.0,1.0,0.0
114,0,Пугачёв,40895.0,1.0,0.0
115,0,Артёмовский,30336.0,1.0,0.0
116,0,Лобня,74350.0,1.0,0.0
117,0,Уяр,12666.0,1.0,0.0
118,0,Пудож,9698.0,1.0,0.0
