transport,departure,arrival,passengers
avia,Сочи,Уфа,231
avia,Москва,Анадырь,216
avia,Ростов-на-Дону,Тюмень,227
avia,Ижевск,Санкт-Петербург,226
avia,Якутск,Усть-Нера,212
avia,Иркутск,Мирный,225
avia,Новый Уренгой,Казань,220
avia,Красноярск,Сургут,226
avia,Ханты-Мансийск,Уфа,215
avia,Тюмень,Симферополь (Крым),208
avia,Салехард,Санкт-Петербург,220
avia,Иркутск,Санкт-Петербург,213
avia,Новый Уренгой,Омск,210
avia,Краснодар,Брянск,203
avia,Ростов-на-Дону,Сургут,203
avia,Сургут,Казань,220
avia,Нижневартовск,Самара,217
avia,Тюмень,Новосибирск,213
avia,Сочи,Омск,211
avia,Чебоксары,Санкт-Петербург,209
avia,Удачный,Новосибирск,212
avia,Екатеринбург,Новый Уренгой,213
avia,Ханты-Мансийск,Тюмень,199
avia,Северо-Енисейский,Новосибирск,202
avia,Омск,Сочи,216
avia,Сочи,Пермь,213
avia,Новосибирск,Красноярск,197
avia,Салехард,Ноябрьск,210
avia,Брянск,Краснодар,199
avia,Чита,Иркутск,211
avia,Магадан,Эвенск,209
avia,Сочи,Новосибирск,203
avia,Симферополь (Крым),Сочи,200
avia,Новый Уренгой,Краснодар,202
avia,Улан-Удэ,Иркутск,203
avia,Ленск,Якутск,198
avia,Усть-Нера,Якутск,204
avia,Санкт-Петербург,Томск,208
avia,Уфа,Сочи,194
avia,Иркутск,Улан-Удэ,202
avia,Ноябрьск,Санкт-Петербург,203
avia,Мурманск,Симферополь (Крым),200
avia,Тюмень,Ханты-Мансийск,206
avia,Томск,Санкт-Петербург,198
avia,Новосибирск,Екатеринбург,202
avia,Ростов-на-Дону,Уфа,194
avia,Сочи,Красноярск,200
avia,Волгоград,Краснодар,187
avia,Москва,Абакан,195
avia,Уфа,Екатеринбург,188
avia,Тюмень,Ноябрьск,201
avia,Новосибирск,Нерюнгри,198
avia,Сыктывкар,Краснодар,189
avia,Томск,Краснодар,193
