Code;City;Region;County;FeatureVectorGlobal;RegionFeatureVectorGlobal
21;Малоярославец;Kaluga;Maloyaroslavetskiy;"[ 0.37352549  0.          0.          0.22338734  0.21316569  0.49995116
  0.1887842   0.06724629  0.          0.64568346  0.24107543  0.
  0.         -0.         -0.          0.02409465  0.22216166  0.27253589
 -0.          0.02875042 -0.          0.07362977 -0.         -0.
  0.25881493  0.07719841  0.05996045 -0.        ]";[0.2169262944744658, 0.006655962058382855, 0.00804747049952734, 0.26132969087203817, 0.07396175469940279, 0.6034578529327672, 0.07812915013902477, 0.34521639376710156, 0.009086801862631652, 0.34967591778204227, 0.06865027038448447, 0.004543400931315826, 0.0, 0.0523909455721115, 0.08209592025551445, 0.17492025065499767, 0.5856483925237238, 0.19225261567983223, 0.1517410612495889, 0.14409760303037322, 0.28672474475299037, 0.06750062062932168, 0.01185861770795651, 0.2045493968221956, 0.542230759331453, 0.3894736373266945, 0.7566241630297109, 0.25592680529243966]
22;Озеро-Карачинское;Novosibirsk;Chanovskiy;"[ 0.37383541  0.0518535   0.103707    0.31228086  0.25190333  0.49403305
  0.16437171  0.37383541  0.1204001   0.46231957  0.21622521  0.
  0.          0.005994   -0.         -0.          0.26240805  0.08783459
 -0.         -0.         -0.         -0.         -0.         -0.
  0.31583936 -0.          0.09407027 -0.        ]";[0.3855945158075501, 0.055935850715607985, 0.09243348819217158, 0.33218592735713776, 0.1733582887995107, 0.470892828867565, 0.21225896453038695, 0.3048423816898852, 0.0831101237400829, 0.4084919924415814, 0.1279170136854638, 0.03529662185204492, 0.023186112921088776, 0.06594798460392165, 0.1278764291797809, 0.19755629705569216, 0.40457791904849716, 0.09979454907780647, 0.11915774930813677, 0.07642847037241587, 0.12636353796009084, 0.052166242953188606, 0.1179587672597046, 0.1977083675916041, 0.27697179913072234, 0.22138810373722126, 0.4183025712427196, 0.24606004703223508]
23;Голицыно;Moscow Oblast;Odintsovsky District;"[ 0.          0.          0.          0.32260082  0.          0.751333
  0.          0.57569735  0.          0.          0.          0.
  0.          0.09281584  0.04001123  0.18976571  0.88030705 -0.
 -0.         -0.          0.52349467 -0.         -0.          0.3612551
  0.66274392  0.34887403  1.20251303  0.42059083]";[0.2383443552182965, 0.0, 0.0, 0.12070643740362941, 0.032568545247150485, 0.633365595018984, 0.005978277455155739, 0.172455652435965, 0.0, 0.4892875075336517, 0.046035991277872605, 0.0, 0.0, 0.024230270922658854, 0.018846696765712236, 0.22015335530495567, 0.5828583483410863, 0.3591026544800972, 0.030842506171144674, 0.08481895001388848, 0.16983053382873656, 0.029085598704754773, 0.02525525487954867, 0.11876136651416569, 0.7568308647427313, 0.39420387397592754, 0.5853821268964279, 0.2759323458740476]
24;Ярославль;Yaroslavl;Yaroslavskiy;"[ 0.36056421  0.18211383  0.21550408  0.30035489  0.30337209  0.37817489
  0.25705563  0.27212707  0.18667899  0.4067285   0.31093165  0.13280297
  0.10197595 -0.          0.9154201  -0.         -0.         -0.
  1.50251865  0.85172242  0.18954113  0.60903431  0.78411489  0.19016167
 -0.         -0.         -0.          0.68364764]";[0.28138958792334745, 0.05544849004868745, 0.07483260438512856, 0.35406480305910626, 0.15608312494080848, 0.5155890102196685, 0.14412951182305933, 0.33311465197154855, 0.05391740291969928, 0.419324222923719, 0.09925925515951645, 0.036332601857976196, 0.011330661591233917, 0.06049486278920562, 0.15457874722624024, 0.19603271164745584, 0.5033621001023294, 0.056279380971070485, 0.16694651662289448, 0.09463582419116535, 0.1485258100443679, 0.09263269135986597, 0.08712387707769166, 0.21012769109251658, 0.3219705723803679, 0.24307571746378695, 0.4745217238532961, 0.24334744883537335]
25;Норильск;Krasnoyarsk;;"[ 0.38735366  0.20916152  0.17899924  0.31384344  0.30821765  0.37621867
  0.28859979  0.23929029  0.10960055  0.43769401  0.29121996  0.10091824
  0.          0.15526086 -0.         -0.          0.1147362   0.04962088
  0.52542536  0.03652573 -0.          0.2913224  -0.         -0.
 -0.          0.06599558 -0.         -0.        ]";[0.40335594676752773, 0.05169263540213251, 0.05709307565065208, 0.1926595945590099, 0.11678941579522173, 0.4693778243571456, 0.11471164789111503, 0.14312719783595243, 0.0463370784453096, 0.5794303254443707, 0.07745088401361241, 0.033228640366613015, 0.009069208991914029, 0.03827709029273034, 0.09381289874204575, 0.21550396777248912, 0.43461766413696334, 0.3719287675596536, 0.1670956074409836, 0.15265544259241665, 0.06870469889393939, 0.07605897102623989, 0.0810594863134546, 0.09337188013272665, 0.4713521370353392, 0.21757927370463165, 0.4194099407841759, 0.39354216835126316]
26;Сатка;Chelyabinsk;Satkinskiy;"[ 0.          0.          0.          0.47909822  0.          0.67366006
  0.          0.5489066   0.12388932  0.          0.          0.
  0.          0.08731038  0.24234146  0.28692055  0.8508041  -0.
 -0.         -0.          0.58793937 -0.         -0.          0.5003567
  0.51681773  0.61399491  1.25915333  0.6128829 ]";[0.19640181352118188, 0.04284828458818666, 0.06696792054248943, 0.38768981482371456, 0.09581166103622302, 0.56914565626025, 0.09473156719688033, 0.4242181350145357, 0.06590699221429314, 0.23342482024588274, 0.08628141706042206, 0.029464096875362857, 0.0117954454488925, 0.06655606885599596, 0.16677418406911385, 0.212099586987986, 0.6477752704127387, 0.07578890113780462, 0.14963883254306384, 0.1456811684504265, 0.28829642070475997, 0.07339198600983556, 0.059890481336721285, 0.3277192228709522, 0.3550133631612886, 0.31459402939607267, 0.8171621354573463, 0.5350482552902016]
27;Долинск;Sakhalin;Dolinskiy;"[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          1.          0.          0.
  0.          0.31188503 -0.         -0.         -0.          0.30541945
 -0.          0.28888152 -0.          0.43631708 -0.          0.2740685
  0.33217791  0.15929307 -0.         -0.        ]";[0.32672591653420663, 0.019093224041316414, 0.08534954436515502, 0.20036930018330748, 0.035913704168009715, 0.4616100524439048, 0.054917135888170585, 0.21129122328926636, 0.05149404221850478, 0.48584034595948544, 0.03132310314745305, 0.015491626081042435, 0.009774127825733265, 0.10442368281139863, 0.15397078971092076, 0.16126878390296812, 0.3328713729268563, 0.31836413266604213, 0.28483607176897136, 0.32712168520367757, 0.25143227279985597, 0.2044608367084838, 0.11637123767760511, 0.2535605155169798, 0.40193104331315876, 0.32079578683900456, 0.655498197629734, 0.4990625906645642]
28;Наро-Фоминск;Moscow Oblast;Naro-Fominsky District;"[ 0.35751763  0.          0.          0.08017112  0.20723934  0.55937635
  0.          0.          0.          0.7140754   0.          0.
  0.         -0.         -0.          0.21515177  0.22121314  0.25064514
 -0.         -0.         -0.          0.07499877 -0.         -0.
  0.20652342  0.47715652  0.00505222 -0.        ]";[0.2383443552182965, 0.0, 0.0, 0.12070643740362941, 0.032568545247150485, 0.633365595018984, 0.005978277455155739, 0.172455652435965, 0.0, 0.4892875075336517, 0.046035991277872605, 0.0, 0.0, 0.024230270922658854, 0.018846696765712236, 0.22015335530495567, 0.5828583483410863, 0.3591026544800972, 0.030842506171144674, 0.08481895001388848, 0.16983053382873656, 0.029085598704754773, 0.02525525487954867, 0.11876136651416569, 0.7568308647427313, 0.39420387397592754, 0.5853821268964279, 0.2759323458740476]
29;Каргасок;Tomsk;Kargasokskiy;"[ 0.49987625  0.          0.          0.          0.          0.47779317
  0.          0.          0.          0.72238316  0.          0.
  0.         -0.         -0.          0.24372409  0.50694538  0.81439526
 -0.          0.2870653  -0.         -0.         -0.         -0.
  0.76639398  0.27369322  0.78790661  0.92985642]";[0.3763704269747076, 0.0, 0.0, 0.12542530966552404, 0.0, 0.5458478357723644, 0.0, 0.11683009452375959, 0.0, 0.5369720550037336, 0.0, 0.0, 0.0, 0.0, 0.05045042368861687, 0.29130873623712517, 0.628055133385655, 0.606232037738232, 0.0, 0.19814251913072634, 0.12451024465424997, 0.0, 0.0, 0.12073602011783863, 0.7093483831306094, 0.3543090296211884, 0.9198496189423878, 0.9326687697097785]
30;Урай;Khanty-Mansi;;"[ 0.35096161  0.          0.          0.36414299  0.13684626  0.56402378
  0.          0.39004194  0.          0.50521618  0.          0.
  0.         -0.         -0.          0.23612799  0.68190685 -0.
 -0.         -0.         -0.         -0.         -0.          0.32986235
  0.0217432   0.03774535  0.56312705  0.05460387]";[0.34216139363004183, 0.07921267588526748, 0.12018681185041909, 0.3288018257627612, 0.21200632947076142, 0.4659829447195596, 0.19881308006112489, 0.2732632804595456, 0.08878650641074153, 0.4097616091279591, 0.21288012867956926, 0.06204654300098346, 0.0325260793205573, 0.024427374393866573, 0.12798374223455766, 0.13390425894028582, 0.32126505452235465, 0.1200813091073844, 0.3413960694590863, 0.13928806573846264, 0.08425774158669963, 0.13681875496446594, 0.08054073004003133, 0.1108082683940434, 0.21514324114664218, 0.17637234997017004, 0.3251195549889091, 0.19281219449872603]
