Code;City;Region;County;FeatureVectorGlobal;RegionFeatureVectorGlobal
374;Котельнич;Kirov;Kotel'nich;"[ 0.36850427  0.17227773  0.22496115  0.33317081  0.28218317  0.37625928
  0.29028226  0.29028226  0.18687662  0.39884751  0.22309845  0.16727934
  0.10691679  0.11069103 -0.          0.1072952   0.00625571 -0.
  0.18837008 -0.         -0.          0.14842947 -0.         -0.
  0.40777214  0.38957345 -0.         -0.        ]";[0.2998832387497792, 0.06270563275197885, 0.0961939632508278, 0.33308042904873525, 0.15354127267477807, 0.48894485569213675, 0.16693745044551, 0.28093866505118337, 0.08569284752301821, 0.3954068864489997, 0.12274930094990649, 0.0712102544942962, 0.038709332560791974, 0.0465649668401333, 0.16436980585278158, 0.2254406102112048, 0.42593526381908337, 0.1259961546857124, 0.14396000956057148, 0.0684495507629475, 0.1416234479237354, 0.061970289191968675, 0.09950010422378228, 0.1421417535250612, 0.37434306852868676, 0.33461253061863894, 0.45126758370858, 0.3635838425108777]
375;Мирный;Sakha;Mirninskiy;"[ 0.38686084  0.06731715  0.1771067   0.31396942  0.28339388  0.41688282
  0.26205148  0.29127487  0.14693034  0.46320983  0.26850742  0.
  0.          0.09887635 -0.          0.09877733  0.43013706  0.18314393
 -0.         -0.         -0.         -0.         -0.         -0.
  1.026696    0.01004669  0.21660924 -0.        ]";[0.3024506121901781, 0.015030370283265346, 0.024871201459580636, 0.17143272210438792, 0.06538955585818582, 0.4922334508394895, 0.06158302545298257, 0.16770491671135368, 0.022426757601338974, 0.5914009632565796, 0.049602797854162356, 0.009224323113800845, 0.006408858307206657, 0.04433593837992825, 0.09383708274440296, 0.21236689191762004, 0.5357984299329522, 0.40731515564433224, 0.18155970458438192, 0.15187689627688214, 0.1464042425617152, 0.08098796201777131, 0.08356478609398366, 0.11501424995775827, 0.8844434664796884, 0.16711798883117224, 0.556037551076219, 0.35877399934641496]
376;Кола;Murmansk;Kolsky District;"[ 0.38468753  0.          0.          0.30503195  0.22072765  0.4701902
  0.27456908  0.23442045  0.06157042  0.58780632  0.09758681  0.
  0.          0.02572838 -0.          0.22682415  0.34911822  0.07077795
 -0.         -0.         -0.         -0.         -0.          0.16518957
  0.1106307   0.10769358  0.32866046 -0.        ]";[0.3795930345467095, 0.08343936039613686, 0.11012553173556221, 0.2906697595592664, 0.2704069238854523, 0.42454634769119687, 0.25551108161694075, 0.24629102182963414, 0.12063247869744793, 0.5049389542533004, 0.2626745892751483, 0.06356020720722998, 0.017405662070567682, 0.049263041484904437, 0.06905016821690148, 0.05146729499886427, 0.15059248872599465, 0.082602546319704, 0.31007352525545023, 0.0535022672305779, 0.0, 0.11742301344816315, 0.021639413921289884, 0.027531595257621586, 0.2672423106345951, 0.08056025243036663, 0.15389335319137398, 0.0]
377;Петровск-Забайкальский;Zabaykalsky;Petrovsk-Zabajkal'skiy;"[ 0.38171978  0.16232238  0.18507493  0.32945333  0.28865339  0.37388364
  0.2756323   0.2736822   0.15041253  0.43023067  0.25287974  0.17689886
  0.09055736  0.08835426 -0.          0.01633485  0.03121068  0.02640456
  0.1307286   0.08271132 -0.          0.17174762 -0.         -0.
  0.17081189  0.14380074  0.00534187 -0.        ]";[0.3149768995257186, 0.030421321529350922, 0.06680788116836256, 0.2685739252448371, 0.13370741071224868, 0.5234445511904696, 0.11779020994480285, 0.26559257676854664, 0.0521233948699683, 0.4290937152876027, 0.11493953666839671, 0.032294901847485284, 0.011462216484437512, 0.030080123737723397, 0.06699505468968457, 0.19393471322356473, 0.4730466557707447, 0.23366681446256402, 0.12834941174054404, 0.13415352353086643, 0.15117995947859997, 0.06089844029895167, 0.016186769140364612, 0.14953873557138792, 0.41263714027452714, 0.24837755186026492, 0.6561986814816958, 0.4523610814888308]
378;Добрянка;Perm;;"[ 0.          0.          0.          0.44103793  0.          0.72559501
  0.          0.52820206  0.          0.          0.          0.
  0.          0.01219182  0.14628393  0.31340854  0.94142497 -0.
 -0.         -0.          0.53225058 -0.         -0.          0.44276306
  0.40068243  0.49367308  1.39179876  0.88915807]";[0.24222971889201414, 0.04490582513598073, 0.052870436918189295, 0.33130042775051516, 0.09935417696207241, 0.5707414683246634, 0.08347821734386944, 0.3441315344307775, 0.032835879290120294, 0.3381738032270636, 0.06864753315856602, 0.02648016435904067, 0.014422484697919125, 0.04640336336066476, 0.1424070225553497, 0.21128276095408105, 0.5864277191021614, 0.1504565695568717, 0.12423453523137078, 0.17629025300317766, 0.22494765197886782, 0.07004356115253665, 0.07305313279084226, 0.27063322825025227, 0.373610762414041, 0.3234778553906206, 0.7200668586913677, 0.5383169484436343]
379;Дивногорск;Krasnoyarsk;;"[ 0.46271614  0.          0.          0.          0.10376124  0.47574138
  0.          0.          0.          0.74080869  0.          0.
  0.         -0.         -0.          0.15822874  0.2077628   0.43774755
 -0.          0.17810429 -0.          0.0215923  -0.         -0.
  0.1742934   0.22809886  0.11457717  0.01288417]";[0.40335594676752773, 0.05169263540213251, 0.05709307565065208, 0.1926595945590099, 0.11678941579522173, 0.4693778243571456, 0.11471164789111503, 0.14312719783595243, 0.0463370784453096, 0.5794303254443707, 0.07745088401361241, 0.033228640366613015, 0.009069208991914029, 0.03827709029273034, 0.09381289874204575, 0.21550396777248912, 0.43461766413696334, 0.3719287675596536, 0.1670956074409836, 0.15265544259241665, 0.06870469889393939, 0.07605897102623989, 0.0810594863134546, 0.09337188013272665, 0.4713521370353392, 0.21757927370463165, 0.4194099407841759, 0.39354216835126316]
380;Ейск;Krasnodar;Eyskiy;"[ 0.          0.          0.          0.39206585  0.          0.70751451
  0.          0.56140025  0.17474938  0.          0.          0.
  0.          0.12784394  0.33716019  0.16439367  0.62575942 -0.
 -0.         -0.          0.80779507 -0.          0.02520069  0.63432998
  0.37976315  0.69546392  1.22750068  0.56395745]";[0.32126791328359205, 0.1394472358422113, 0.17287310965641073, 0.31371330694662086, 0.2435014053845665, 0.4319582342131657, 0.21993118074368115, 0.29505985182129985, 0.1516006461640105, 0.36981936758403483, 0.22433217358476729, 0.11968392548362713, 0.06207905974481358, 0.06265427730365464, 0.19775510681480435, 0.09868120980700172, 0.22286945497359167, 0.06243415651461602, 0.34269002129449855, 0.10164434105647183, 0.10552363198363938, 0.1080387504840812, 0.1068854473416367, 0.09187588671043691, 0.33951739191356317, 0.20642831175320808, 0.26776049851487527, 0.21685784445216386]
381;Дно;Pskov;Dnovskiy;"[ 0.39431651  0.06547533  0.          0.26190131  0.16925127  0.47940565
  0.22650742  0.19642599  0.          0.62819156  0.16925127  0.
  0.          0.04115989 -0.          0.14446273  0.55982947  0.37444501
 -0.         -0.         -0.         -0.         -0.         -0.
  0.68050413  0.01658454  0.50110591 -0.        ]";[0.367303909009541, 0.018280402384952755, 0.028882169503131033, 0.22480694997639147, 0.15783065157248138, 0.4873365946976654, 0.12870562268831878, 0.20334025822861876, 0.039820033875940124, 0.5804494442649294, 0.12098382610052012, 0.026366286700388212, 0.0, 0.02353779241182956, 0.10991037673855324, 0.16347989543648148, 0.35209441811668557, 0.2715559132740261, 0.20436640103435105, 0.10709413952838952, 0.11544602404928805, 0.11635983777090543, 0.0740244613617588, 0.0903267830850444, 0.548598042098646, 0.20578307969129878, 0.28250193011886615, 0.134486738185366]
382;Катайск;Kurgan;;"[ 0.47047194  0.          0.          0.33997927  0.17133655  0.45538169
  0.33141013  0.          0.          0.56259123  0.          0.
  0.         -0.         -0.          0.61018038  0.54098772  0.25493186
 -0.         -0.         -0.         -0.         -0.         -0.
  0.19677061  0.65297038  0.55487923 -0.        ]";[0.41743770062643165, 0.02018002684058183, 0.06694792317164557, 0.26383611387854194, 0.1685044461471471, 0.4848535402950927, 0.18514406734855018, 0.21067475454513918, 0.08526215289759104, 0.5157505423395998, 0.12350421011553947, 0.033735192920512726, 0.013208346314329494, 0.05659182439721287, 0.028218656731567888, 0.2226834986303173, 0.43628581704468977, 0.2768586085157938, 0.11109719399364591, 0.07721932936005414, 0.04552004937264345, 0.039010262790050196, 0.0, 0.15049483975897995, 0.41044238920444814, 0.23387620348109156, 0.44074897766324095, 0.15679978835327713]
383;Тикси;Sakha;Bulunsky District;"[ 0.49066027  0.          0.          0.30762956  0.06709533  0.46261005
  0.28501608  0.          0.          0.60404681  0.          0.
  0.         -0.         -0.          0.59090348  0.62712516  0.3387447
 -0.         -0.         -0.         -0.         -0.         -0.
  0.8980062   0.5539939   0.36442514 -0.        ]";[0.3024506121901781, 0.015030370283265346, 0.024871201459580636, 0.17143272210438792, 0.06538955585818582, 0.4922334508394895, 0.06158302545298257, 0.16770491671135368, 0.022426757601338974, 0.5914009632565796, 0.049602797854162356, 0.009224323113800845, 0.006408858307206657, 0.04433593837992825, 0.09383708274440296, 0.21236689191762004, 0.5357984299329522, 0.40731515564433224, 0.18155970458438192, 0.15187689627688214, 0.1464042425617152, 0.08098796201777131, 0.08356478609398366, 0.11501424995775827, 0.8844434664796884, 0.16711798883117224, 0.556037551076219, 0.35877399934641496]
384;Опочка;Pskov;Opochetskiy;"[ 0.39758017  0.          0.06941091  0.          0.19486106  0.51719534
  0.06941091  0.1794246   0.          0.66800237  0.22002738  0.
  0.         -0.         -0.         -0.          0.16495254  0.56205737
 -0.          0.34350843 -0.         -0.         -0.         -0.
  0.94635654 -0.          0.32185299  0.02247795]";[0.367303909009541, 0.018280402384952755, 0.028882169503131033, 0.22480694997639147, 0.15783065157248138, 0.4873365946976654, 0.12870562268831878, 0.20334025822861876, 0.039820033875940124, 0.5804494442649294, 0.12098382610052012, 0.026366286700388212, 0.0, 0.02353779241182956, 0.10991037673855324, 0.16347989543648148, 0.35209441811668557, 0.2715559132740261, 0.20436640103435105, 0.10709413952838952, 0.11544602404928805, 0.11635983777090543, 0.0740244613617588, 0.0903267830850444, 0.548598042098646, 0.20578307969129878, 0.28250193011886615, 0.134486738185366]
385;Сердобск;Penza;;"[ 0.36369265  0.10885408  0.19793791  0.33640757  0.2631034   0.42157787
  0.27200995  0.32712219  0.20862372  0.42092684  0.16452115  0.12633152
  0.10885408  0.16460654 -0.          0.23733611  0.27196528 -0.
 -0.         -0.         -0.         -0.         -0.          0.0577549
  0.46162148  0.27671497  0.16019796 -0.        ]";[0.2760902181467541, 0.0675783789337984, 0.09367798109877638, 0.3004923511569809, 0.12373753802916257, 0.5222984116165722, 0.11470723587408638, 0.34506649724042676, 0.08700632220445688, 0.35081547827401177, 0.12910310729505461, 0.060096640211028104, 0.04156629316775294, 0.08007596985587953, 0.1372667915393549, 0.1639956291268121, 0.5033426731677892, 0.15424612103076804, 0.19145556997784374, 0.1456459981859876, 0.14361296168562418, 0.06914317616446272, 0.05683308098160887, 0.1906345577268194, 0.5350635844470945, 0.23703022749684674, 0.5402235214264259, 0.3082941498515805]
386;Бердск;Novosibirsk;Berdsk;"[ 0.54274764  0.06347371  0.          0.42960178  0.20120691  0.36182807
  0.36357237  0.          0.          0.43763968  0.14738139  0.
  0.         -0.         -0.          0.4244079   0.39550903  0.2346926
 -0.         -0.         -0.         -0.         -0.         -0.
  0.14035711  0.58908192  0.33213987 -0.        ]";[0.3855945158075501, 0.055935850715607985, 0.09243348819217158, 0.33218592735713776, 0.1733582887995107, 0.470892828867565, 0.21225896453038695, 0.3048423816898852, 0.0831101237400829, 0.4084919924415814, 0.1279170136854638, 0.03529662185204492, 0.023186112921088776, 0.06594798460392165, 0.1278764291797809, 0.19755629705569216, 0.40457791904849716, 0.09979454907780647, 0.11915774930813677, 0.07642847037241587, 0.12636353796009084, 0.052166242953188606, 0.1179587672597046, 0.1977083675916041, 0.27697179913072234, 0.22138810373722126, 0.4183025712427196, 0.24606004703223508]
387;Гагарин;Smolensk;Gagarinskiy;"[ 0.39752199  0.          0.          0.          0.17463524  0.53620266
  0.0752113   0.          0.          0.67519292  0.24984654  0.
  0.         -0.         -0.         -0.          0.18911411  0.60697481
 -0.          0.54068819 -0.         -0.         -0.         -0.
  0.76636275 -0.          0.52192778  0.52033198]";[0.2800699590152095, 0.017907492481486036, 0.04190214109031871, 0.3437256625614179, 0.12076284044008326, 0.5296809154574768, 0.09340244056858096, 0.34000095113497913, 0.02638167701197323, 0.44232183790428536, 0.10726571986316692, 0.010811439495391845, 0.005340646113094486, 0.04388971410921246, 0.09064262852430026, 0.18034351918130337, 0.5621406159579756, 0.1015811926961616, 0.18623823157869865, 0.1568551130426086, 0.10847020805388098, 0.10047603120910183, 0.024534647668984177, 0.1947185517244291, 0.3819662003257904, 0.18904339045137186, 0.5139990137073293, 0.22824559253694413]
388;Озёры;Moscow Oblast;Ozerskiy;"[ 0.          0.          0.          0.32260082  0.          0.751333
  0.          0.57569735  0.          0.          0.          0.
  0.          0.09281584  0.04001123  0.18976571  0.88030705 -0.
 -0.         -0.          0.52349467 -0.         -0.          0.3612551
  0.66274392  0.34887403  1.20251303  0.42059083]";[0.2383443552182965, 0.0, 0.0, 0.12070643740362941, 0.032568545247150485, 0.633365595018984, 0.005978277455155739, 0.172455652435965, 0.0, 0.4892875075336517, 0.046035991277872605, 0.0, 0.0, 0.024230270922658854, 0.018846696765712236, 0.22015335530495567, 0.5828583483410863, 0.3591026544800972, 0.030842506171144674, 0.08481895001388848, 0.16983053382873656, 0.029085598704754773, 0.02525525487954867, 0.11876136651416569, 0.7568308647427313, 0.39420387397592754, 0.5853821268964279, 0.2759323458740476]
389;Вичуга;Ivanovo;Vichuga;"[ 0.38964096  0.          0.          0.          0.          0.562345
  0.          0.          0.          0.71818347  0.12712407  0.
  0.         -0.         -0.          0.16141379  0.54555218  0.78117564
 -0.          0.02158331 -0.         -0.         -0.         -0.
  1.3310693   0.47242305  0.42765933  0.26594225]";[0.17389384363842228, 0.008297577651586915, 0.016231520090369465, 0.2852335908628301, 0.04771921168047562, 0.632769791472073, 0.04051965021314475, 0.34794548459312574, 0.017339478627683487, 0.3009196552403174, 0.05855103904430931, 0.01101683891363768, 0.0, 0.036519981220496475, 0.11639564118660442, 0.21956193533820254, 0.6731297601530781, 0.25763576027483515, 0.12744967900097418, 0.1830354863651703, 0.3250564092104823, 0.055447992968633064, 0.025292187021169272, 0.2824955409363661, 0.6430053652516532, 0.4441982180057699, 0.8895350462915959, 0.5055211157744591]
390;Нефтекамск;Bashkortostan;Neftekamsk;"[ 0.59648289  0.          0.          0.35871041  0.          0.34691842
  0.40073441  0.          0.          0.48434961  0.          0.
  0.          0.07157528 -0.          0.61672862  0.55730228  0.30317334
 -0.         -0.         -0.         -0.         -0.          0.03088766
 -0.          0.59586106  0.5330664  -0.        ]";[0.33224585142059526, 0.04181226173180896, 0.05611795300645573, 0.36832296538363984, 0.10991834157871576, 0.5030788119298751, 0.17014355125780053, 0.3259599590871168, 0.04618312945232864, 0.34245628771691805, 0.08192919182683753, 0.03499085343572626, 0.012948397893821049, 0.05905275796291857, 0.1675440656765491, 0.26197928349863603, 0.5661234318330319, 0.10873930633332973, 0.14486676146644203, 0.07789332583597135, 0.20340049377166766, 0.06420441730559565, 0.12150714189063234, 0.23988747676655128, 0.1993971666717719, 0.300058664268839, 0.6883399536220544, 0.4340204156196928]
391;Белинский;Penza;;"[ 0.          0.          0.          0.42092236  0.          0.72061867
  0.          0.55093837  0.          0.          0.          0.
  0.          0.03601374  0.16449776  0.27401642  0.90777293 -0.
 -0.         -0.          0.50264537 -0.         -0.          0.38970273
  0.62982876  0.43671162  1.23801759  0.61214352]";[0.2760902181467541, 0.0675783789337984, 0.09367798109877638, 0.3004923511569809, 0.12373753802916257, 0.5222984116165722, 0.11470723587408638, 0.34506649724042676, 0.08700632220445688, 0.35081547827401177, 0.12910310729505461, 0.060096640211028104, 0.04156629316775294, 0.08007596985587953, 0.1372667915393549, 0.1639956291268121, 0.5033426731677892, 0.15424612103076804, 0.19145556997784374, 0.1456459981859876, 0.14361296168562418, 0.06914317616446272, 0.05683308098160887, 0.1906345577268194, 0.5350635844470945, 0.23703022749684674, 0.5402235214264259, 0.3082941498515805]
392;Губаха;Perm;;"[ 0.3291427   0.          0.          0.34134118  0.07178744  0.55129018
  0.          0.39652235  0.          0.55574006  0.          0.
  0.          0.0590458  -0.          0.20350984  0.70946831 -0.
 -0.         -0.         -0.         -0.         -0.          0.23922542
  0.13910522  0.16312213  0.46650183 -0.        ]";[0.24222971889201414, 0.04490582513598073, 0.052870436918189295, 0.33130042775051516, 0.09935417696207241, 0.5707414683246634, 0.08347821734386944, 0.3441315344307775, 0.032835879290120294, 0.3381738032270636, 0.06864753315856602, 0.02648016435904067, 0.014422484697919125, 0.04640336336066476, 0.1424070225553497, 0.21128276095408105, 0.5864277191021614, 0.1504565695568717, 0.12423453523137078, 0.17629025300317766, 0.22494765197886782, 0.07004356115253665, 0.07305313279084226, 0.27063322825025227, 0.373610762414041, 0.3234778553906206, 0.7200668586913677, 0.5383169484436343]
393;Калач;Voronezh;;"[ 0.          0.          0.          0.44952465  0.          0.71622354
  0.          0.53380842  0.          0.          0.          0.
  0.          0.01586314  0.16131004  0.31249924  0.9330583  -0.
 -0.         -0.          0.54061805 -0.         -0.          0.46268811
  0.35397701  0.49421363  1.39183547  0.92310657]";[0.30916973181805524, 0.07494461897093013, 0.1170614337452034, 0.34249589952481546, 0.1776257242792392, 0.4839372746702118, 0.1887556159784518, 0.33104103396841367, 0.09835729334285004, 0.37465551908818334, 0.13870022309085167, 0.0698384840381225, 0.04210594648369923, 0.051899343913841746, 0.19604408946569254, 0.19989190797026282, 0.43818687120346844, 0.06030271304437021, 0.3296432833447667, 0.17818745598671326, 0.1257604840493616, 0.1129901589331062, 0.09910235603404359, 0.20193531377497778, 0.3267768740922593, 0.24529642452903053, 0.4547147495000426, 0.3225260264539269]
394;Лебедянь;Lipetsk;;"[ 0.          0.          0.          0.32260082  0.          0.751333
  0.          0.57569735  0.          0.          0.          0.
  0.          0.09281584  0.04001123  0.18976571  0.88030705 -0.
 -0.         -0.          0.52349467 -0.         -0.          0.3612551
  0.66274392  0.34887403  1.20251303  0.42059083]";[0.22908254118888657, 0.06480959081967583, 0.07933836753606154, 0.31719733007778605, 0.15779512061824774, 0.5420457411819183, 0.1391987270599864, 0.3710434629592581, 0.06600588709863536, 0.3111560125782998, 0.13872695378048946, 0.06439562471314036, 0.015953739332064856, 0.05213611791272636, 0.058019892872937684, 0.11218333113975594, 0.44335293400943987, 0.06375888562843947, 0.19431414518801843, 0.04406249045977188, 0.19369682227655993, 0.08311319903313233, 0.0, 0.13590946727516232, 0.35883748837585, 0.18979107006577275, 0.518449093319029, 0.1686571083343968]
395;Мензелинск;Tatarstan;Menzelinskiy;"[ 0.          0.          0.          0.46734327  0.          0.72084451
  0.          0.51183344  0.          0.          0.          0.
  0.         -0.          0.15974384  0.34883843  0.9587915  -0.
 -0.         -0.          0.50968663 -0.         -0.          0.42808296
  0.4072188   0.51198735  1.37566102  0.90966237]";[0.26671080098632016, 0.07095956543208994, 0.08967841216219304, 0.3458779760204808, 0.13271194930285884, 0.5258062882491026, 0.1438689973986294, 0.3554228147599126, 0.08282909888039298, 0.3059966967141068, 0.11563979962168294, 0.05196972584028456, 0.02723972388552259, 0.060531297730763725, 0.14076897916108813, 0.19798802550902153, 0.5081196669299238, 0.10664574680667042, 0.23349418022971685, 0.1472778993275499, 0.19702726698824286, 0.09878850859621263, 0.05954507629018049, 0.2530473641901536, 0.3084936220522167, 0.2807931560057873, 0.6521147763219631, 0.46037131278341026]
396;Бийск;Altai;;"[ 0.37537101  0.13951785  0.16088415  0.31476083  0.2676365   0.424085
  0.2303996   0.2931633   0.14742037  0.47491355  0.25540384  0.10798347
  0.          0.05410572 -0.         -0.         -0.          0.44737046
  1.0657863   1.16332927 -0.          0.4303758  -0.         -0.
 -0.         -0.         -0.         -0.        ]";[0.3775249720441156, 0.06794371737486031, 0.08434099689353776, 0.3547051331504569, 0.15238744963906267, 0.4708820826201472, 0.20448218863880355, 0.2905587338727063, 0.041277606176915844, 0.37108264501140736, 0.13505472581773215, 0.028062440721710467, 0.00727239933966034, 0.049774895250535654, 0.09215113869573381, 0.18320256253518222, 0.408575830554007, 0.2467420047486043, 0.2536553376339973, 0.31159518686719906, 0.15586927247366833, 0.10763301519801094, 0.05812208116299288, 0.17353983689588415, 0.17330426259755713, 0.23495743210631007, 0.5510478158691753, 0.25569838610674617]
397;Адлер;Krasnodar;Sochi;"[ 0.35863009  0.18936531  0.23288798  0.28178934  0.32098274  0.37034271
  0.24265577  0.24523454  0.20655676  0.4061655   0.34595835  0.10479786
  0.06612009 -0.          0.72513471 -0.         -0.          0.03546827
  1.0202155   0.47675078  0.05991679  0.22328093  0.5340703   0.05417515
  0.08650726 -0.         -0.          0.35521071]";[0.32126791328359205, 0.1394472358422113, 0.17287310965641073, 0.31371330694662086, 0.2435014053845665, 0.4319582342131657, 0.21993118074368115, 0.29505985182129985, 0.1516006461640105, 0.36981936758403483, 0.22433217358476729, 0.11968392548362713, 0.06207905974481358, 0.06265427730365464, 0.19775510681480435, 0.09868120980700172, 0.22286945497359167, 0.06243415651461602, 0.34269002129449855, 0.10164434105647183, 0.10552363198363938, 0.1080387504840812, 0.1068854473416367, 0.09187588671043691, 0.33951739191356317, 0.20642831175320808, 0.26776049851487527, 0.21685784445216386]
398;Иланский;Krasnoyarsk;;"[ 0.45099907  0.14854288  0.17577     0.37444876  0.21164817  0.40853912
  0.31380742  0.30995774  0.05291204  0.42958975  0.0838636   0.05291204
  0.          0.20120158 -0.          0.27257957  0.52247559  0.08046439
 -0.         -0.         -0.         -0.         -0.          0.24345981
  0.15944575  0.05202197  0.52639267 -0.        ]";[0.40335594676752773, 0.05169263540213251, 0.05709307565065208, 0.1926595945590099, 0.11678941579522173, 0.4693778243571456, 0.11471164789111503, 0.14312719783595243, 0.0463370784453096, 0.5794303254443707, 0.07745088401361241, 0.033228640366613015, 0.009069208991914029, 0.03827709029273034, 0.09381289874204575, 0.21550396777248912, 0.43461766413696334, 0.3719287675596536, 0.1670956074409836, 0.15265544259241665, 0.06870469889393939, 0.07605897102623989, 0.0810594863134546, 0.09337188013272665, 0.4713521370353392, 0.21757927370463165, 0.4194099407841759, 0.39354216835126316]
399;Хонуу;Sakha;Momskiy;"[ 0.37810409  0.          0.          0.          0.          0.41063356
  0.          0.          0.          0.82970921  0.          0.
  0.          0.04800699 -0.          0.18717245  0.46762564  0.7842902
 -0.          0.2580769  -0.         -0.         -0.         -0.
  1.24686445  0.06198076  0.48394403  0.46786671]";[0.3024506121901781, 0.015030370283265346, 0.024871201459580636, 0.17143272210438792, 0.06538955585818582, 0.4922334508394895, 0.06158302545298257, 0.16770491671135368, 0.022426757601338974, 0.5914009632565796, 0.049602797854162356, 0.009224323113800845, 0.006408858307206657, 0.04433593837992825, 0.09383708274440296, 0.21236689191762004, 0.5357984299329522, 0.40731515564433224, 0.18155970458438192, 0.15187689627688214, 0.1464042425617152, 0.08098796201777131, 0.08356478609398366, 0.11501424995775827, 0.8844434664796884, 0.16711798883117224, 0.556037551076219, 0.35877399934641496]
400;Екатеринбург;Sverdlovsk;Ekaterinburg;"[ 0.34301678  0.18342784  0.22258055  0.29570927  0.30264683  0.38231906
  0.22937674  0.30633657  0.21189525  0.39663083  0.31938444  0.13834513
  0.06424549 -0.          2.41729291 -0.         -0.          0.63571584
  4.50609959  4.87269625  0.27308188  2.30957342  2.10434545  1.74612114
 -0.         -0.         -0.          4.96001919]";[0.20365504400919565, 0.033073515046209645, 0.057725382444961865, 0.3492779392040689, 0.10056816213549588, 0.5826936004519707, 0.09689571705956014, 0.39843741911008157, 0.04940907835090125, 0.25631109442857763, 0.0777091168182353, 0.02360256139752804, 0.014419525608990154, 0.054698320007110196, 0.14265307058444723, 0.2109672129439544, 0.6213688750510342, 0.1251608445638378, 0.14800309285261334, 0.16564170663397507, 0.2923155942038698, 0.07880083210854658, 0.05531545029971831, 0.28598423375015414, 0.40802236159229505, 0.3566833222000964, 0.7827865426074834, 0.48737310742756945]
401;Яранск;Kirov;Yaranskiy;"[ 0.          0.          0.          0.55060417  0.          0.71164557
  0.          0.43634348  0.          0.          0.          0.
  0.         -0.          0.38625561  0.41732916  0.88014111 -0.
 -0.         -0.          0.5921982  -0.          0.1377821   0.44741706
  0.20532437  0.6915389   1.2677564   1.27529965]";[0.2998832387497792, 0.06270563275197885, 0.0961939632508278, 0.33308042904873525, 0.15354127267477807, 0.48894485569213675, 0.16693745044551, 0.28093866505118337, 0.08569284752301821, 0.3954068864489997, 0.12274930094990649, 0.0712102544942962, 0.038709332560791974, 0.0465649668401333, 0.16436980585278158, 0.2254406102112048, 0.42593526381908337, 0.1259961546857124, 0.14396000956057148, 0.0684495507629475, 0.1416234479237354, 0.061970289191968675, 0.09950010422378228, 0.1421417535250612, 0.37434306852868676, 0.33461253061863894, 0.45126758370858, 0.3635838425108777]
402;Обь;Novosibirsk;Ob';"[ 0.37516024  0.05301258  0.08402295  0.34414987  0.19616985  0.51057353
  0.20711434  0.3914292   0.14882512  0.44974895  0.10602516  0.
  0.          0.17056284 -0.          0.16969172  0.53527759 -0.
 -0.         -0.          0.08272968 -0.         -0.          0.29940073
  0.26809076  0.07211815  0.53131534 -0.        ]";[0.3855945158075501, 0.055935850715607985, 0.09243348819217158, 0.33218592735713776, 0.1733582887995107, 0.470892828867565, 0.21225896453038695, 0.3048423816898852, 0.0831101237400829, 0.4084919924415814, 0.1279170136854638, 0.03529662185204492, 0.023186112921088776, 0.06594798460392165, 0.1278764291797809, 0.19755629705569216, 0.40457791904849716, 0.09979454907780647, 0.11915774930813677, 0.07642847037241587, 0.12636353796009084, 0.052166242953188606, 0.1179587672597046, 0.1977083675916041, 0.27697179913072234, 0.22138810373722126, 0.4183025712427196, 0.24606004703223508]
403;Кинель;Samara;Kinel';"[ 0.35063751  0.15683434  0.21646384  0.33825561  0.27169527  0.39484864
  0.29319573  0.31236718  0.18641835  0.39970802  0.19697735  0.17349519
  0.12042902  0.11025618 -0.          0.14163843  0.03030565 -0.
 -0.         -0.         -0.          0.16618251 -0.         -0.
  0.18379183  0.43801053 -0.         -0.        ]";[0.3600549292903493, 0.14008888345052192, 0.18675509089603975, 0.31297689991509137, 0.2817962031015572, 0.39956104791227626, 0.25390042724068834, 0.2915791787844514, 0.1730768645570646, 0.4310939921047327, 0.2564474253521138, 0.1323712783428591, 0.06982726428218868, 0.07733429479386024, 0.2270284314891938, 0.06807519118607064, 0.14315927669788636, 0.03508029243730216, 0.32920424139876575, 0.1369774951990231, 0.05967475742739747, 0.14789148614357475, 0.19262687980494433, 0.03798271254479338, 0.3213162049686562, 0.17000147591297549, 0.09514122325504909, 0.1992510867144393]
404;Лоо;Krasnodar;Sochi;"[ 0.34753331  0.19103905  0.22082239  0.29536261  0.31127079  0.38082673
  0.24780651  0.28934251  0.18963848  0.39960329  0.31858036  0.13859823
  0.05769701  0.06501863 -0.         -0.          0.03329382  0.00814902
  0.36130582 -0.         -0.          0.07600861 -0.         -0.
  0.28628038  0.12236051 -0.         -0.        ]";[0.32126791328359205, 0.1394472358422113, 0.17287310965641073, 0.31371330694662086, 0.2435014053845665, 0.4319582342131657, 0.21993118074368115, 0.29505985182129985, 0.1516006461640105, 0.36981936758403483, 0.22433217358476729, 0.11968392548362713, 0.06207905974481358, 0.06265427730365464, 0.19775510681480435, 0.09868120980700172, 0.22286945497359167, 0.06243415651461602, 0.34269002129449855, 0.10164434105647183, 0.10552363198363938, 0.1080387504840812, 0.1068854473416367, 0.09187588671043691, 0.33951739191356317, 0.20642831175320808, 0.26776049851487527, 0.21685784445216386]
