,Lat,Long,City,City population,Provinces/State
35,43.35703770000001,132.1853629,Артём,106460,Приморский край
36,48.60083235,37.9940003223644,Артёмовск,74072,Донецкая область
37,57.343185399999996,61.8775035,Артёмовский,30336,Свердловская область
38,64.543022,40.537121,Архангельск,348716,Архангельская область
39,57.00527460000001,61.458076500000004,Асбест,70067,Свердловская область
40,56.999187,86.14166999999999,Асино,25614,Томская область
41,46.3652486,48.0552168617783,Астрахань,520662,Астраханская область
42,51.882442,45.012572999999996,Аткарск,25620,Саратовская область
43,48.2877616,46.174487899999995,Ахтубинск,41898,Астраханская область
44,56.2694846,90.4953964,Ачинск,109156,Красноярский край
45,54.99088960000001,57.278053099999994,Аша,31916,Челябинская область
46,56.460900699999996,138.1817339,Аян,1895,Красноярский край
47,59.3969942,35.940425,Бабаево,12074,Московская область
48,51.7161749,105.8635328,Бабушкин,4542,Республика Бурятия
49,54.4030866,53.235701600000006,Бавлы,22109,Республика Татарстан
50,55.466446999999995,119.95388249999999,Багдарин,4875,Республика Бурятия
51,51.522597999999995,104.14907099999999,Байкальск,13589,Иркутская область
52,61.680826100000004,96.38302209999999,Байкит,3513,Красноярский край
53,43.68587385,43.544624025,Баксан,36857,Кабардино-Балкарская Республика
54,55.1783579,36.657556400000004,Балабаново,26337,Калужская область
55,52.01812,47.819140999999995,Балаково,199576,Тверская область
56,55.803622499999996,37.96464879999999,Балашиха,215353,Московская область
57,51.537084,43.1717621,Балашов,82222,Саратовская область
58,51.578789,116.646042,Балей,12536,Забайкальский край
59,55.3567611,78.350348,Барабинск,30250,Новосибирская область
60,53.347402,83.77844959999999,Барнаул,635585,Алтайский край
61,53.654075799999994,47.1013737,Барыш,17149,Ульяновская область
62,67.654907,134.63507099999998,Батагай,3647,Республика Саха (Якутия)
63,47.138527,39.742348,Батайск,112400,Ростовская область
64,56.973884600000005,29.8845309,Бежаницы,4141,Псковская область
65,57.78135699999999,36.692535,Бежецк,24517,Тверская область
66,68.53701,146.187286,Белая Гора,2058,Псковская область
67,48.1751778,40.7902124,Белая Калитва,43688,Ростовская область
68,50.5955595,36.5873394,Белгород,39026,Белгородская область
69,52.9669338,43.4130625,Белинский,8567,Пензенская область
70,54.419323,86.30342900000001,Белово,76752,Кемеровская область
71,50.921326,128.47287,Белогорск,68220,Амурская область
72,60.03199,37.7842189,Белозерск,9614,Вологодская область
73,51.9994856,84.9860861,Белокуриха,15072,Алтайский край
74,64.5216684,34.762583500000005,Беломорск,11217,Республика Карелия
75,53.968070499999996,58.4099549,Белорецк,68804,Республика Башкортостан
76,44.7614149,39.871294299999995,Белореченск,53891,Краснодарский край
77,63.7156353,66.6667691,Белоярский,20283,Свердловская область
78,55.833073,32.939487,Белый,3771,Краснодарский край
79,54.7437662,83.0626890786016,Бердск,98809,Новосибирская область
80,59.408417099999994,56.8036958,Березники,156350,Пермский край
81,63.935246,65.053566,Берёзово,7050,Воронежская область
82,61.0183491,138.3158678,Берёзовый,29441,Краснодарский край
83,43.18755720000001,44.537568900000004,Беслан,36724,Республика Северная Осетия - Алания
84,52.5394905,85.2148673,Бийск,203826,Алтайский край
85,46.819363,134.254822,Бикин,17156,Хабаровский край
86,48.78816679999999,132.9282082,Биробиджан,75419,Еврейская автономная область
87,50.290527000000004,127.527161,Благовещенск,214397,Амурская область
88,45.100857,43.420868,Благодарный,32736,Ростовская область
