;source;target;pass_day;transport;source_lat;source_lng;target_lat;target_lng;target_population;source_population;source_coords;target_coords;source_country;source_county;source_region;target_country;target_county;target_region
2512;Ростов-на-Дону;Улан-Удэ;2.066666666666667;avia;47.2213858;39.7114196;51.8357841;107.5839105;431922.0;1091544.0;(39.7114196, 47.2213858);(107.5839105, 51.8357841);Russia;Rostov-na-Donu;Rostov;Russia;Ulan-Ude;Buryat
2513;Воронеж;Братск;1.6333333333333333;avia;51.6605982;39.2005858;56.1517085;101.6334907;246348.0;19738.0;(39.2005858, 51.6605982);(101.6334907, 56.1517085);Russia;Voronezh;Voronezh;Russia;Bratsk;Irkutsk
2514;Минеральные Воды;Владивосток;2.6333333333333333;avia;44.2107377;43.134969;43.1150678;131.8855768;592069.0;76715.0;(43.134969, 44.2107377);(131.8855768, 43.1150678);Russia;;Stavropol;Russia;Vladivostokskiy;Primorsky
2515;Ростов-на-Дону;Анадырь;2.333333333333333;avia;47.2213858;39.7114196;64.7316875;177.5060925;13053.0;1091544.0;(39.7114196, 47.2213858);(177.5060925, 64.7316875);Russia;Rostov-na-Donu;Rostov;Russia;Anadyrskiy;Chukotka
2516;Сургут;Норильск;1.5666666666666669;avia;61.254032;73.3964;69.3498394;88.200517;175301.0;38922.0;(73.3964, 61.254032);(88.200517, 69.3498394);Russia;;Khanty-Mansi;Russia;;Krasnoyarsk
2517;Геленджик;Советский;1.7;avia;44.5609447;38.0766832;61.362099;63.57354;26434.0;54813.0;(38.0766832, 44.5609447);(63.57354, 61.362099);Russia;Gelendzhik;Krasnodar;Russia;Sovetskiy;Khanty-Mansi
2518;Владикавказ;Казань;2.533333333333333;avia;43.024593;44.68211;55.7823547;49.1242266;1216965.0;311635.0;(44.68211, 43.024593);(49.1242266, 55.7823547);Russia;Vladikavkaz;North Ossetia-Alania;Russia;Kazan';Tatarstan
2519;Казань;Новокузнецк;2.533333333333333;avia;55.7823547;49.1242266;53.757607;87.136101;547885.0;1216965.0;(49.1242266, 55.7823547);(87.136101, 53.757607);Russia;Kazan';Tatarstan;Russia;;Kemerovo
2520;Архангельск;Ставрополь;2.2333333333333334;avia;64.543022;40.537121;45.0433245;41.9690934;32736.0;348716.0;(40.537121, 64.543022);(41.9690934, 45.0433245);Russia;Arkhangel'sk;Arkhangelsk;Russia;Stavropol';Stavropol
2521;Воронеж;Южно-Сахалинск;1.7333333333333334;avia;51.6605982;39.2005858;46.9574273;142.727438;181727.0;19738.0;(39.2005858, 51.6605982);(142.727438, 46.9574273);Russia;Voronezh;Voronezh;Russia;;Sakhalin
