,lat,lng,name,osm_accuracy,population
87,50.290527000000004,127.527161,Благовещенск,0.619684962903729,34246
88,45.100857,43.420868,Благодарный,0.5877685253859921,32736
89,51.0967999,40.0307798,Бобров,0.589544497059049,19738
90,56.7683407,62.052077399999995,Богданович,0.603451643452326,31752
91,53.773571,38.126965000000006,Богородицк,0.59086888056666,31897
92,56.493906200000005,38.182557200000005,Богородское,0.5810270996548921,109432
93,56.211464,89.531639,Боготол,0.6008071512139229,21029
94,49.93244979999999,40.554475399999994,Богучар,0.594560839740484,11811
95,57.8500317,114.20382839999999,Бодайбо,0.602269360264941,15331
96,59.472902100000006,33.848995200000005,Бокситогорск,0.60172244801276,16593
97,54.9609,49.0334,Болгар,0.785388247880598,8650
98,57.885204,34.049603000000005,Бологое,0.6040445621341971,23499
99,55.671566000000006,84.38855,Болотное,0.5963385957600611,16969
