;Code;City;Region;County;FeatureVectorGlobal;RegionFeatureVectorGlobal
492;493;Кизилюрт;Dagestan;;"[ 0.38742502  0.30860137  0.21689466  0.14995538  0.27096303  0.40958237
  0.28994975  0.10984033  0.49947301  0.29374226  0.10984033  0.
  0.         -0.          0.19102802 -0.         -0.          0.00850362
  0.35877514  0.45855649  0.15505665 -0.         -0.         -0.
  0.21229246  0.44813451 -0.          0.26839423]";[0.3409905388652786, 0.354798312296045, 0.21664124237111204, 0.13397488784474915, 0.1960358079440553, 0.4787948084130087, 0.31326146128011084, 0.0945929637105803, 0.3712122792810298, 0.15088452192928017, 0.08900227211893273, 0.053714938647988646, 0.00696655107265387, 0.050727486643458976, 0.07275063886326717, 0.0, 0.0, 0.009969090457058074, 0.28327747073863835, 0.19809109826135116, 0.2988155754124853, 0.03399787815654441, 0.0, 0.0, 0.24664775226248215, 0.24334713389420956, 0.012381277349177837, 0.25680863035886065]
493;494;Москва;Moscow City;Podolsky;"[ 0.35751053  0.25665533  0.18441444  0.1915443   0.32650286  0.39771183
  0.26562872  0.18283065  0.46731305  0.34313664  0.17039776  0.02908814
  0.02908814  0.20264718 -0.          4.23202399  0.85890136 -0.
 -0.         -0.         -0.          0.09347347  9.61818617 13.6789491
  0.33002735 -0.          0.56699405 -0.        ]";[0.3400456925266258, 0.17509601722484988, 0.09528904234643903, 0.047886075601510286, 0.22137895068688065, 0.5055076075977551, 0.1930435402157125, 0.04570766284627677, 0.5720206183123459, 0.13593103826813502, 0.04259944088886892, 0.007272034669334262, 0.007272034669334262, 0.10420422444524799, 0.04091193895305541, 1.0580059983563466, 0.24624442584846348, 0.0316303712694761, 0.173860592494409, 0.15656910029020496, 0.10786514759086929, 0.07561054556802421, 2.412204834374042, 3.4197372756247226, 0.14178840744174598, 0.11533971204630578, 0.38696738560042787, 0.1156895168618734]
494;495;Камышин;Volgograd;Kamyshinskiy;"[ 0.36476637  0.          0.          0.          0.          0.47499035
  0.          0.          0.80083061  0.          0.          0.
  0.          0.15164859 -0.         -0.          0.0998196   0.34112325
  0.31802931  0.10960792  0.46628565 -0.         -0.         -0.
 -0.          0.23610684  0.56599754 -0.        ]";[0.3751573913294369, 0.20891112032412826, 0.1436719899136901, 0.09780839794304813, 0.13603337837660964, 0.4635515143321131, 0.19475105082575414, 0.07715962296208533, 0.562136309008157, 0.13236984961158793, 0.05779486847727806, 0.04921102849141581, 0.018634227723974443, 0.13043288966947317, 0.03704676264544877, 0.08350285634152166, 0.046208548573912815, 0.13158143579446233, 0.2872312225435189, 0.2534713647656832, 0.3919502749699738, 0.04110972804855704, 0.164008807148377, 0.1928162655270282, 0.46864269322092017, 0.09925322775276511, 0.1557248222707427, 0.2575115828791685]
495;496;Ачинск;Krasnoyarsk;Achinsk;"[ 0.34560773  0.31108419  0.26369548  0.22292808  0.30540965  0.36437672
  0.27541867  0.21125596  0.38898835  0.28084413  0.19887832  0.18604629
  0.11691251 -0.         -0.          0.15009848 -0.          0.02364864
  0.15884152 -0.         -0.          0.19273396  0.06945853 -0.
 -0.          0.38930428 -0.          0.11986513]";[0.4291809864663833, 0.3163217285348688, 0.22331548689691935, 0.11879294659738515, 0.20795375401580216, 0.4169158090135641, 0.2466163145452616, 0.10615129689614598, 0.4466969920192344, 0.13725609476820172, 0.1134479122393422, 0.07711816380687662, 0.02590614653998947, 0.06861440765816605, 0.06986442982847613, 0.08981194046086746, 0.036187373941858995, 0.059500104914792525, 0.24940012661629, 0.24593892909604298, 0.3668690238816803, 0.06331678406032538, 0.17645052241644021, 0.17392545844518983, 0.5038479525225731, 0.0374335610257783, 0.037070359868256526, 0.24818351941494898]
496;497;Подольск;Moscow Oblast;Podol'skiy;"[ 0.39367752  0.          0.          0.          0.          0.47902931
  0.          0.          0.77199177  0.1399201   0.          0.
  0.          0.26600886  0.04480613 -0.          0.06476345  0.25990363
  0.36448705  0.50303091  0.47558132 -0.         -0.         -0.
  0.80943949  0.06504448  0.37862209  0.14436137]";[0.36267325645794757, 0.08360539757783052, 0.013875554919498542, 0.0, 0.07361938579042608, 0.5147761242472542, 0.08995905592282116, 0.0, 0.6718169261324448, 0.09989918066407505, 0.0, 0.0, 0.0, 0.17919492470461457, 0.051404513025686736, 0.0, 0.03561486471247377, 0.1829321364788905, 0.23519604571229502, 0.3573228914661206, 0.3891932864681689, 0.008876461438780394, 0.0, 0.0, 0.5186229659386378, 0.22721651254334752, 0.20040651628769007, 0.22059173607646332]
497;498;Сочи;Krasnodar;Sochi;"[ 0.36510052  0.28135069  0.25262453  0.22632725  0.31988767  0.36052735
  0.23908667  0.2021238   0.40548314  0.34780413  0.20564679  0.11568297
  0.03343988  0.14436386 -0.          0.74718524  0.2777403   0.05088915
 -0.         -0.         -0.          0.20224421  1.54125887  1.56195353
 -0.          0.0103433   0.11798853 -0.        ]";[0.37467680576830226, 0.3112033360116633, 0.2635109567668515, 0.20711330816089327, 0.29345339341138765, 0.377731856164216, 0.25796405793886773, 0.16448764860986967, 0.4135653008275847, 0.27232932012180955, 0.16840729679736935, 0.1401216432130395, 0.06672259118313567, 0.04080721327923851, 0.023335860977784097, 0.19283351281775757, 0.062335110792838544, 0.022972314614312515, 0.2086942066788583, 0.07959470564076554, 0.1396479459392967, 0.15319653855082782, 0.3605218879569749, 0.3256137304752133, 0.1434231005808586, 0.17027105082315352, 0.06443267605459564, 0.14703117286631817]
498;499;Смоленск;Smolensk;Smolenskiy;"[ 0.35513306  0.30947416  0.27936258  0.21907779  0.29701202  0.36923515
  0.27803563  0.19934003  0.40197593  0.2893584   0.17737929  0.16282707
  0.08478048 -0.         -0.          0.40662702 -0.          0.00058956
  0.00891205 -0.         -0.          0.21515139  0.5719428   0.57876045
 -0.          0.30415873 -0.         -0.        ]";[0.3766398871965265, 0.2898190340551875, 0.15263968547387852, 0.06325273879705748, 0.1692645477580585, 0.47350160545339814, 0.2578800513752004, 0.04319715011805134, 0.5518702359038261, 0.15661801031450046, 0.025629646812137835, 0.016282706958113534, 0.008478047872480845, 0.14564243349559172, 0.11051936988208419, 0.04066270167198026, 0.01138102196019235, 0.045444676362280514, 0.13325494498526597, 0.365692773306656, 0.3490854985843467, 0.04788133985427684, 0.05719427989259181, 0.05787604451312507, 0.7676783787314445, 0.1364828860717498, 0.07571890646298968, 0.4025866888729537]
499;500;Клинцы;Bryansk;;"[ 0.37931676  0.35566256  0.27686724  0.17525643  0.21999458  0.44672922
  0.34897518  0.19522574  0.45697327  0.05275744  0.          0.05275744
  0.         -0.          0.01309574 -0.         -0.         -0.
  0.28565817 -0.          0.38523075 -0.         -0.         -0.
  0.30052533 -0.         -0.          0.30089769]";[0.39457412447861845, 0.3301466566860922, 0.22058090917934794, 0.13165343537433802, 0.1941242262316168, 0.4524217013162498, 0.28190932741766556, 0.11022507204712358, 0.49700450976128174, 0.09278644712949823, 0.04804606681173535, 0.04850766282681189, 0.0051398641810894135, 0.05226466446385688, 0.06429276106343032, 0.017492901116890145, 0.02553560014988827, 0.01270273398413124, 0.26443101962257554, 0.2196484694632753, 0.4055070964196223, 0.02068792969546072, 0.0032675443710169674, 0.004719759358094317, 0.5884049751902707, 0.07019325781176095, 0.01181515387812947, 0.29433959976904717]
500;501;Называевск;Omsk;;"[ 0.4161602   0.32061604  0.27529015  0.1757713   0.2794935   0.40203129
  0.26926646  0.07771097  0.48748313  0.24290506  0.04903017  0.
  0.         -0.          0.15655285 -0.         -0.         -0.
  0.32358332  0.33198131  0.21864634 -0.         -0.         -0.
  0.42236691  0.18288425 -0.          0.24944641]";[0.3700024598898659, 0.33156906194438396, 0.2480165420749913, 0.17845525848066696, 0.27573457027050546, 0.4151422066320477, 0.31185786354512024, 0.16749162334456447, 0.4423694424458983, 0.20802139759960098, 0.08134612215265863, 0.07735364644790765, 0.02936117772463952, 0.08186120795300231, 0.10015595635065225, 0.32813208217709094, 0.10251273277323002, 0.012316410645328776, 0.22159222325462014, 0.22575390966905, 0.269905329647708, 0.04139222908443189, 0.763949291590252, 0.8812605394188321, 0.48308408589884355, 0.04612128849661868, 0.10840429051456527, 0.2881582847809365]
501;502;Новоалександровск;Stavropol;Novoaleksandrovskiy;"[ 0.44753766  0.          0.          0.          0.          0.48429943
  0.          0.          0.74072442  0.12841902  0.          0.
  0.          0.25697088  0.05035326 -0.         -0.          0.3690184
  0.51254026  0.6215659   0.66034328 -0.         -0.         -0.
  1.00099366  0.04974024  0.26580041  0.19355855]";[0.380862113600954, 0.2750981337827963, 0.22056389761564768, 0.15239731036894233, 0.24890156435736374, 0.40090946969484326, 0.23646056112017097, 0.11145571520428037, 0.48299080122590526, 0.2558413364260214, 0.12470783753715725, 0.08800059459175104, 0.05661098470220713, 0.06532223800323213, 0.0734429239424197, 0.06471433312215508, 0.014145079858389175, 0.05303019192586336, 0.2553658071458258, 0.25433596077476056, 0.2189467556419509, 0.0962264396111746, 0.09192681165416873, 0.041978996578963305, 0.40029526085018735, 0.23846235332730173, 0.04527687304619, 0.23190634025012385]
